Zeit,Kanal A,Kanal B,Kanal C,Kanal D
13.15749748,14.22354,14.2333,1.002777,0.09263216
13.15816416,14.23636,14.25284,1.005067,0.0937004
13.15883083,14.23636,14.23514,0.9905689,0.07981321
13.15949751,14.21316,14.20645,0.9730191,0.06378952
13.16016418,14.18508,14.19118,0.978513,0.06928336
13.16083086,14.21988,14.22842,1.013918,0.103925
13.16149753,14.27481,14.2797,1.017885,0.1095715
13.16216421,14.29679,14.3035,1.013307,0.1077402
13.16283088,14.31022,14.31266,1.011171,0.1077402
13.16349756,14.28946,14.29252,1.010713,0.1068246
13.16416423,14.27176,14.28031,1.008424,0.1025516
13.16483091,14.26871,14.28031,1.001404,0.09751557
13.16549758,14.24979,14.2565,0.9919423,0.08927481
13.16616426,14.2272,14.22598,0.9829386,0.08011842
13.16683093,14.16188,14.16555,0.9623367,0.05890612
13.16749761,14.09962,14.10389,0.94555,0.03967769
13.16816428,14.11854,14.13014,0.9560798,0.04852887
13.16883096,14.17653,14.1918,0.9808021,0.07370895
13.16949763,14.23147,14.23941,1.004303,0.09583689
13.17016431,14.24368,14.24979,1.014833,0.1049933
13.17083098,14.26749,14.26993,1.014223,0.1051459
13.17149766,14.28763,14.28824,1.008424,0.1005677
13.17216433,14.28641,14.28885,0.9997253,0.09354779
13.17283101,14.26871,14.27481,0.9888902,0.08332316
13.17349768,14.22659,14.23208,0.9766817,0.07218288
13.17416436,14.1918,14.20339,0.9629471,0.06150043
13.17483103,14.15517,14.16799,0.9510438,0.04974972
13.17549771,14.16066,14.15944,0.9603528,0.05707484
13.17616438,14.20645,14.20645,0.9959101,0.09415822
13.17683106,14.19363,14.20034,1.00293,0.09949945
13.17749773,14.19241,14.19729,0.997894,0.09080088
13.17816441,14.22476,14.22842,1.003998,0.09614211
13.17883108,14.25467,14.2504,0.9991149,0.09232694
13.17949776,14.27787,14.27726,0.9808021,0.07294592
13.18016443,14.24429,14.2504,0.9898059,0.0819497
13.18083111,14.22537,14.22842,0.9933158,0.08713832
13.18149778,14.18142,14.18386,0.9876693,0.08271273
13.18216445,14.14418,14.15334,0.9707301,0.0679099
13.18283113,14.15944,14.17043,0.9559273,0.0538701
13.1834978,14.17653,14.18569,0.9743926,0.0700464
13.18416448,14.21438,14.21682,0.9774448,0.07233549
13.18483115,14.27176,14.27176,0.9461604,0.04318764
13.18549783,14.23636,14.2388,0.9827859,0.08149188
13.1861645,14.21804,14.22659,1.006287,0.1042303
13.18683118,14.17287,14.18386,1.009034,0.1057563
13.18749785,14.1509,14.15944,1.001709,0.09614211
13.18816453,14.19241,14.19729,0.9951471,0.08729093
13.1888312,14.17104,14.17959,0.9956049,0.0865279
13.18949788,14.13136,14.13747,0.9937736,0.08362837
13.19016455,14.12282,14.1216,0.9833964,0.07355634
13.19083123,14.13442,14.13564,0.9736296,0.06409474
13.1914979,14.15822,14.15334,0.9936211,0.08744353
13.19216458,14.19057,14.18752,1.009797,0.106672
13.19283125,14.22049,14.21682,1.002777,0.1008729
13.19349793,14.23453,14.22781,1.004303,0.1027042
13.1941646,14.23758,14.23453,1.019106,0.1161336
