Zeit,Kanal A,Kanal B,Kanal C,Kanal D
19.40624208,14.10328,14.09962,1.038487,0.1197046
19.40690875,14.10695,14.10328,1.040013,0.1213527
19.40757543,14.11122,14.10756,1.041845,0.1231229
19.4082421,14.11549,14.11183,1.043523,0.1248932
19.40890878,14.11977,14.1161,1.045355,0.1266634
19.40957545,14.12404,14.12038,1.047186,0.1284947
19.41024213,14.12892,14.12465,1.049017,0.130448
19.4109088,14.13381,14.12953,1.051001,0.1324014
19.41157548,14.13869,14.13442,1.052985,0.1343548
19.41224215,14.14296,14.13869,1.054816,0.1363081
19.41290883,14.14785,14.14296,1.056648,0.1381394
19.4135755,14.15212,14.14723,1.058479,0.1400317
19.41424218,14.15639,14.15151,1.06031,0.141802
19.41490885,14.16005,14.15517,1.061836,0.1434501
19.41557553,14.16433,14.15944,1.063362,0.1450983
19.4162422,14.16738,14.1625,1.064736,0.1465023
19.41690888,14.17043,14.16555,1.065956,0.1477231
19.41757555,14.17287,14.16738,1.067025,0.1488219
19.41824223,14.17531,14.16982,1.068093,0.1498596
19.4189089,14.17715,14.17165,1.068856,0.1506532
19.41957558,14.17837,14.17287,1.069314,0.1512636
19.42024225,14.17959,14.17409,1.069772,0.1516909
19.42090893,14.1802,14.1747,1.069924,0.151874
19.4215756,14.1802,14.1747,1.069924,0.151874
19.42224228,14.1802,14.1747,1.069772,0.151813
19.42290895,14.17959,14.17409,1.069466,0.1515688
19.42357563,14.17837,14.17287,1.069161,0.1511415
19.4242423,14.17715,14.17165,1.068398,0.1505311
19.42490898,14.17531,14.16982,1.067635,0.1497986
19.42557565,14.17348,14.16799,1.06672,0.1488219
19.42624233,14.17043,14.16555,1.065499,0.1476621
19.426909,14.16738,14.1625,1.064125,0.1463191
19.42757568,14.16372,14.15883,1.062599,0.1447931
19.42824235,14.16005,14.15517,1.061073,0.143267
19.42890903,14.15578,14.15151,1.059394,0.1415578
19.4295757,14.15151,14.14723,1.057563,0.1397876
19.43024238,14.14723,14.14296,1.055732,0.1378953
19.43090905,14.14235,14.13808,1.053901,0.1359419
19.43157573,14.13747,14.13381,1.051764,0.1338664
19.4322424,14.13258,14.12892,1.049628,0.1317299
19.43290908,14.1277,14.12404,1.047491,0.1295935
19.43357575,14.12282,14.11977,1.045507,0.127518
19.43424243,14.11854,14.11488,1.043523,0.1255036
19.4349091,14.11366,14.11061,1.041539,0.1235502
19.43557578,14.10939,14.10634,1.039708,0.1216579
19.43624245,14.10511,14.10267,1.037877,0.1198266
19.43690913,14.10084,14.0984,1.036046,0.1179954
19.4375758,14.09657,14.09413,1.034367,0.1162862
19.43824248,14.0923,14.09046,1.032688,0.114577
19.43890915,14.08863,14.0868,1.031162,0.1130509
19.43957583,14.08558,14.08375,1.029789,0.1116469
19.4402425,14.08253,14.0807,1.028568,0.110365
19.44090918,14.07948,14.07826,1.027347,0.1092663
19.44157585,14.07704,14.07581,1.026431,0.1082285
19.44224253,14.07459,14.07337,1.025516,0.1073739
19.4429092,14.07276,14.07154,1.024753,0.1065804
19.44357588,14.07154,14.07032,1.024142,0.106031
19.44424255,14.06971,14.0691,1.023532,0.1054206
19.44490923,14.0691,14.06788,1.023074,0.1049933
19.4455759,14.06849,14.06727,1.022921,0.1048102
19.44624258,14.06849,14.06727,1.022769,0.1047491
19.44690925,14.06239,14.06116,1.020327,0.1023074
19.44757593,14.06239,14.06116,1.020327,0.1023685
19.4482426,14.06239,14.06116,1.020327,0.1023685
19.44890928,14.06178,14.06055,1.02048,0.1024295
19.44957595,14.06178,14.06055,1.02048,0.1025516
19.45024263,14.06178,14.06055,1.020632,0.1026126
19.4509093,14.06178,14.05994,1.020632,0.1027347
19.45157598,14.06178,14.05994,1.020785,0.1028568
19.45224265,14.06178,14.05994,1.020785,0.1029789
19.45290933,14.06178,14.05933,1.020938,0.103101
19.453576,14.06178,14.05933,1.020938,0.103223
19.45424268,14.06178,14.05933,1.020938,0.1033451
19.45490935,14.06116,14.05872,1.02109,0.1034672
19.45557603,14.06116,14.05872,1.021243,0.1035893
19.4562427,14.06116,14.05872,1.021243,0.1036503
19.45690938,14.06116,14.05811,1.021243,0.1037114
19.45757605,14.06116,14.05811,1.02109,0.1037114
19.45824273,14.06116,14.05811,1.02109,0.1038335
19.4589094,14.06116,14.0575,1.021243,0.1038945
19.45957608,14.06116,14.0575,1.021243,0.1040166
19.46024275,14.06116,14.0575,1.021243,0.1041387
