Zeit,Kanal A,Kanal B,Kanal C,Kanal D
16.03753341,14.18935,14.1802,0.7512819,0.04059333
16.03820008,14.22232,14.22415,0.7763094,0.07187767
16.03886676,14.29984,14.31449,0.7862288,0.0866805
16.03953343,14.30106,14.31205,0.7834818,0.08851178
16.04020011,14.30961,14.31693,0.7876022,0.09614211
16.04086678,14.31388,14.32426,0.7836345,0.09629472
16.04153346,14.29862,14.29984,0.7734098,0.09095348
16.04220013,14.27664,14.28336,0.7634904,0.08378097
16.04286681,14.24246,14.25406,0.7404468,0.06699426
16.04353348,14.21194,14.2211,0.7189293,0.05020754
16.04420016,14.20278,14.21072,0.7146563,0.04822366
16.04486683,14.24124,14.25406,0.7363265,0.07203028
16.04553351,14.27603,14.28397,0.7554023,0.09446344
16.04620018,14.29191,14.29801,0.7581491,0.09965205
16.04686686,14.29801,14.30045,0.7488402,0.09431083
16.04753353,14.26383,14.26688,0.7296118,0.07981321
16.04820021,14.24857,14.25467,0.7111464,0.0679099
16.04886688,14.28031,14.28275,0.7054999,0.06867293
16.04953356,14.26932,14.26932,0.6949701,0.06333171
16.05020023,14.24979,14.25467,0.6807777,0.05325967
16.05086691,14.22232,14.23758,0.674063,0.05249664
16.05153358,14.24185,14.25345,0.691918,0.07782932
16.05220026,14.26749,14.26993,0.7061104,0.09980466
16.05286693,14.27787,14.28031,0.696954,0.09888902
16.05353361,14.28824,14.29496,0.6865767,0.09339519
16.05420028,14.29191,14.29496,0.6810829,0.09202173
16.05486696,14.2974,14.29984,0.674063,0.0912587
16.05553363,14.28153,14.28763,0.6638383,0.08500183
16.05620031,14.2565,14.2565,0.6452203,0.06974117
16.05686698,14.22598,14.22171,0.6217189,0.0514284
16.05753366,14.18264,14.18325,0.607374,0.04349286
16.05820033,14.18691,14.18264,0.6172934,0.06165303
16.05886701,14.20278,14.20522,0.6162251,0.06989378
16.05953368,14.27664,14.29435,0.6226346,0.0865279
16.06020036,14.31083,14.33097,0.6211085,0.09446344
16.06086703,14.30106,14.3151,0.6102735,0.09232694
16.06153371,14.28824,14.2974,0.5957758,0.08698571
16.06220038,14.27115,14.27115,0.5803626,0.0819497
16.06286706,14.26199,14.25528,0.5553351,0.06668904
16.06353373,14.23636,14.23392,0.5329019,0.05432792
16.06420041,14.18752,14.19241,0.5176413,0.04791845
16.06486708,14.15761,14.17043,0.5180991,0.0561592
16.06553376,14.23269,14.23758,0.5342754,0.08210231
16.06620043,14.28885,14.28885,0.5365645,0.09308998
16.06686711,14.29191,14.29191,0.5249664,0.08866438
16.06753378,14.26688,14.26688,0.5048224,0.07767671
16.06820046,14.2504,14.24979,0.4852887,0.06989378
16.06886713,14.23514,14.23758,0.4706385,0.06577341
16.06953381,14.27359,14.2797,0.4630082,0.06852032
16.07020048,14.26383,14.27359,0.4465267,0.06134782
16.07086716,14.21316,14.23758,0.4237883,0.04730802
16.07153383,14.18813,14.21316,0.4150897,0.04791845
16.07220051,14.2095,14.23025,0.4303504,0.07370895
16.07286718,14.26871,14.28031,0.4379807,0.09064827
16.07353386,14.29984,14.30717,0.4388964,0.09888902
16.07420053,14.30656,14.31388,0.4314186,0.09705774
16.07486721,14.31571,14.30778,0.4175314,0.09110609
16.07553388,14.30106,14.30106,0.4041021,0.0865279
16.07620056,14.28214,14.29191,0.3899097,0.07859236
16.07686723,14.26322,14.25894,0.3697656,0.0656208
16.07753391,14.23514,14.22598,0.3390917,0.04349286
16.07820058,14.16982,14.16982,0.3119277,0.02426444
16.07886726,14.14418,14.15212,0.3113173,0.03021609
16.07953393,14.24734,14.25589,0.3526736,0.07752411
16.08020061,14.26749,14.27481,0.3453485,0.07538762
16.08086728,14.2333,14.24857,0.3113173,0.04547674
16.08153396,14.26444,14.27603,0.3339031,0.07462458
16.08220063,14.29618,14.29679,0.3473324,0.09690514
16.08286731,14.31144,14.30534,0.3363448,0.09247955
16.08353398,14.28153,14.27848,0.3209315,0.08133927
16.08420066,14.26016,14.26199,0.3004822,0.06577341
16.08486733,14.22659,14.23269,0.2794225,0.04974972
16.08553401,14.21316,14.21865,0.2778965,0.05112318
16.08620068,14.25589,14.26444,0.3062813,0.08179709
16.08686736,14.26749,14.27664,0.3126908,0.09263216
16.08753403,14.26199,14.26444,0.2984983,0.08347577
16.08820071,14.23575,14.23758,0.2847638,0.07447198
16.08886738,14.22537,14.23086,0.2746917,0.06913075
16.08953406,14.26749,14.26505,0.2788121,0.07431938
16.09020073,14.2797,14.26932,0.2730131,0.07141985
16.09086741,14.27115,14.27237,0.2669088,0.07065682
16.09153408,14.24246,14.24734,0.2598889,0.06623123
