Zeit,Kanal E,Kanal F,Kanal G,Kanal H
19.40624208,5.11476,1.724148,0.1347516,4.070931
19.40690875,5.117507,1.727048,0.1376511,4.073678
19.40757543,5.120559,1.729947,0.1407032,4.076731
19.4082421,5.123917,1.733,0.1437553,4.079782
19.40890878,5.126968,1.736052,0.1468075,4.082835
19.40957545,5.130326,1.739257,0.1500122,4.085887
19.41024213,5.133683,1.742461,0.1533695,4.089244
19.4109088,5.137041,1.745819,0.1567269,4.092602
19.41157548,5.140703,1.749176,0.1599316,4.095959
19.41224215,5.144061,1.752381,0.163289,4.099316
19.41290883,5.147113,1.755433,0.1664937,4.102368
19.4135755,5.15047,1.758485,0.1695458,4.105421
19.41424218,5.153522,1.761537,0.172598,4.108473
19.41490885,5.156269,1.764284,0.1753449,4.111219
19.41557553,5.159016,1.766878,0.1780918,4.113966
19.4162422,5.161458,1.76932,0.1805335,4.116408
19.41690888,5.163594,1.771304,0.18267,4.118545
19.41757555,5.16573,1.773288,0.1845013,4.120376
19.41824223,5.167257,1.774814,0.18618,4.121902
19.4189089,5.168783,1.776187,0.1875534,4.123428
19.41957558,5.169698,1.777256,0.1886217,4.124344
19.42024225,5.170309,1.777866,0.1893847,4.125259
19.42090893,5.170614,1.778324,0.1896899,4.125565
19.4215756,5.170614,1.778324,0.1898425,4.125565
19.42224228,5.170614,1.778171,0.1896899,4.125565
19.42290895,5.170003,1.777713,0.1892321,4.124954
19.42357563,5.169393,1.777103,0.1884691,4.124344
19.4242423,5.168172,1.776035,0.1875534,4.123123
19.42490898,5.166646,1.774661,0.18618,4.121902
19.42557565,5.164815,1.773135,0.1845013,4.120376
19.42624233,5.162984,1.771151,0.1825174,4.118239
19.426909,5.160542,1.768862,0.1803809,4.116103
19.42757568,5.157795,1.76642,0.1779392,4.113356
19.42824235,5.155048,1.763826,0.1751923,4.110914
19.42890903,5.151996,1.760927,0.1724454,4.108168
19.4295757,5.148944,1.758027,0.1693932,4.105115
19.43024238,5.145586,1.754822,0.1663411,4.101758
19.43090905,5.142229,1.751618,0.1629838,4.098706
19.43157573,5.138566,1.74826,0.1596264,4.095043
19.4322424,5.134904,1.74475,0.1561165,4.091686
19.43290908,5.131241,1.741393,0.1526065,4.088328
19.43357575,5.127884,1.738036,0.1492492,4.084971
