Zeit,Kanal E,Kanal F,Kanal G,Kanal H
18.14955975,5.048223,1.659443,0.0743499,2.171591
18.15022643,5.083628,1.694848,0.1091442,2.233549
18.1508931,5.099804,1.710414,0.1237944,2.282841
18.15155978,5.11415,1.722928,0.1350262,2.239348
18.15222645,5.11537,1.725827,0.1384446,2.144274
18.15289313,5.110792,1.721554,0.1339275,2.074075
18.1535598,5.104077,1.711024,0.1238554,2.071634
18.15422648,5.09248,1.696985,0.1112196,2.114058
18.15489315,5.067757,1.680045,0.09424978,2.092388
18.15555983,5.051581,1.66509,0.07673056,2.026004
18.1562265,5.041814,1.653034,0.0660481,2.001129
18.15689318,5.035405,1.64754,0.06122573,2.022341
18.15755985,5.054938,1.665547,0.07862288,2.060493
18.15822653,5.095531,1.702173,0.1149432,2.135881
18.1588932,5.115675,1.71896,0.1286168,2.205012
18.15955988,5.117202,1.717586,0.1291051,2.233091
18.16022655,5.113234,1.721249,0.1342327,2.233091
18.16089323,5.112319,1.739562,0.1510805,2.230039
18.1615599,5.11537,1.728879,0.1409474,2.226377
18.16222658,5.102551,1.70431,0.1173239,2.17098
18.16289325,5.08546,1.689049,0.09998779,2.095745
18.16355993,5.065316,1.67333,0.08332316,2.03043
18.1642266,5.039983,1.65456,0.06549872,2.004029
18.16489328,5.038152,1.64754,0.06018801,2.024631
18.16555995,5.061042,1.668142,0.08088145,2.049658
18.16622663,5.106214,1.714229,0.1261751,2.09895
18.1668933,5.123917,1.726132,0.1369796,2.111616
18.16755998,5.123306,1.721707,0.1341716,2.13054
18.16822665,5.123917,1.722165,0.1353925,2.170675
18.16889333,5.126968,1.727353,0.1398486,2.229276
18.16956,5.11537,1.718655,0.1308753,2.242858
18.17022668,5.098889,1.705378,0.1172628,2.235991
18.17089335,5.101941,1.709803,0.1219631,2.239195
18.17156003,5.124527,1.729337,0.1416188,2.242095
18.1722267,5.077524,1.682487,0.09547064,2.115432
18.17289338,5.046392,1.648608,0.06183616,2.025089
18.17356005,5.044256,1.647082,0.06214137,2.013643
18.17422673,5.078745,1.68386,0.09913319,2.087199
18.1748934,5.113234,1.721707,0.13466,2.131608
18.17556008,5.113539,1.728269,0.1377121,2.114363
18.17622675,5.112013,1.727506,0.1366744,2.099713
18.17689343,5.110487,1.721401,0.1337444,2.105665
18.1775601,5.101636,1.71255,0.1258699,2.111616
18.17822678,5.096447,1.708277,0.1194604,2.143206
18.17889345,5.094311,1.702326,0.1136003,2.183952
18.17956013,5.07203,1.684165,0.09547064,2.198755
18.1802268,5.047308,1.65868,0.07257966,2.194482
18.18089348,5.02106,1.629227,0.04303504,2.182884
18.18156015,5.024417,1.632127,0.04492736,2.132829
18.18222683,5.08546,1.689659,0.1025516,2.09895
18.1828935,5.10713,1.713771,0.1273959,2.084452
18.18356018,5.113234,1.723385,0.1357588,2.102002
18.18422685,5.120559,1.727506,0.1392992,2.134049
18.18489353,5.119949,1.725064,0.1385667,2.117415
18.1855602,5.115981,1.716213,0.1313637,2.085521
18.18622688,5.101941,1.703394,0.1178122,2.07789
18.18689355,5.076608,1.68676,0.100293,2.092693
18.18756023,5.054633,1.6686,0.08124771,2.071634
18.1882269,5.040288,1.656544,0.06830668,2.079417
18.18889358,5.03571,1.649524,0.06183616,2.120468
18.18956025,5.032658,1.644335,0.05805152,2.153736
18.19022693,5.058906,1.667226,0.08283482,2.195703
18.1908936,5.082713,1.691033,0.1053595,2.236754
18.19156028,5.086986,1.694543,0.1071298,2.228208
18.19222695,5.104077,1.709956,0.1223904,2.191277
18.19289363,5.110182,1.719112,0.1319741,2.11299
18.1935603,5.102857,1.713619,0.1262361,2.065987
18.19422698,5.09309,1.699426,0.113234,2.059272
18.19489365,5.076914,1.680808,0.09376144,2.062935
18.19556033,5.044256,1.648303,0.06208033,2.013338
18.196227,5.006104,1.616256,0.03064339,1.986326
18.19689368,5.018007,1.6335,0.04773532,2.030277
18.19756035,5.061958,1.675925,0.08900012,2.101392
18.19822703,5.109877,1.715603,0.130387,2.168539
18.1988937,5.124527,1.727353,0.140459,2.221035
18.19956038,5.111708,1.717434,0.1269686,2.229887
18.20022705,5.094006,1.698968,0.1093884,2.241179
18.20089373,5.080882,1.687523,0.1026737,2.251251
18.2015604,5.072946,1.682029,0.1018801,2.202875
18.20222708,5.080882,1.687523,0.103223,2.116805
18.20289375,5.075693,1.680045,0.09406666,2.054694
18.20356043,5.056769,1.662801,0.07612013,2.036381
18.2042271,5.039372,1.647845,0.06037114,2.055457
18.20489378,5.044561,1.654255,0.06812355,2.05912
18.20556045,5.088206,1.695306,0.1096936,2.079722
18.20622713,5.108046,1.714229,0.1305701,2.096508
18.2068938,5.112013,1.720486,0.136125,2.109327
18.20756048,5.113234,1.726743,0.1394823,2.123672
18.20822715,5.114455,1.72659,0.1372848,2.151599
18.20889383,5.113539,1.723691,0.134721,2.204401
18.2095605,5.10011,1.711329,0.1219021,2.230802
18.21022718,5.07844,1.690728,0.1012697,2.233549
18.21089385,5.053412,1.666005,0.07715786,2.223629
18.21156053,5.032963,1.644793,0.05811256,2.155567
18.2122272,5.032047,1.647998,0.06098156,2.086436
18.21289388,5.029605,1.645861,0.05756318,2.053626
18.21356055,5.037847,1.648608,0.0603101,2.040196
18.21422723,5.07264,1.682334,0.09693566,2.084605
18.2148939,5.105604,1.711635,0.1267855,2.096661
18.21556058,5.111097,1.721554,0.1343548,2.099103
18.21622725,5.114455,1.727353,0.1388719,2.118484
18.21689393,5.117812,1.725675,0.1387498,2.137407
18.2175606,5.107435,1.716365,0.1311195,2.119399
18.21822728,5.096447,1.707209,0.1215969,2.126267
18.21889395,5.090038,1.696832,0.1097546,2.163197
18.21956063,5.067757,1.674551,0.08777927,2.190056
18.2202273,5.048529,1.653644,0.06580393,2.191735
18.22089398,5.026248,1.630448,0.03900623,2.203028
18.22156065,5.024112,1.632432,0.04450006,2.174643
18.22222733,5.089427,1.693627,0.1086558,2.175406
18.222894,5.120559,1.720486,0.1338664,2.121994
18.22356068,5.116286,1.719875,0.1313637,2.093456
18.22422735,5.106824,1.719265,0.1302039,2.096356
18.22489403,5.107435,1.719265,0.1311195,2.112837
18.2255607,5.111708,1.719112,0.1311806,2.10536
18.22622738,5.108961,1.713924,0.1247711,2.107801
18.22689405,5.091869,1.696527,0.1066414,2.103528
18.22756073,5.065316,1.676077,0.08735197,2.096966
18.2282274,5.048223,1.658985,0.07080942,2.103376
18.22889408,5.039372,1.647693,0.06000488,2.130387
18.22956075,5.036015,1.646624,0.05896716,2.158467
18.23022743,5.066536,1.674551,0.08735197,2.22836
18.2308941,5.101026,1.7008,0.1134172,2.269564
18.23156078,5.101941,1.70431,0.1150653,2.200281
18.23222745,5.113234,1.71255,0.1254426,2.141375
18.23289413,5.11415,1.717129,0.1305701,2.109938
18.2335608,5.110182,1.713313,0.127518,2.106428
18.23422748,5.109266,1.706293,0.1208644,2.114516
18.23489415,5.10011,1.695916,0.1101819,2.102765
18.23556083,5.08546,1.683097,0.09675253,2.07087
18.2362275,5.070199,1.667226,0.08088145,2.049811
18.23689418,5.050055,1.651203,0.06433891,2.039891
18.23756085,5.028995,1.637315,0.04932243,2.037297
18.23822753,5.033573,1.643725,0.05609816,2.06965
18.2388942,5.081492,1.692406,0.1055427,2.167776
18.23956088,5.110182,1.719265,0.1333171,2.234922
18.24022755,5.109571,1.720791,0.1350873,2.259187
18.24089423,5.102857,1.70904,0.1229398,2.256287
18.2415609,5.10713,1.704157,0.1234282,2.230802
18.24222758,5.130936,1.719265,0.1449762,2.207606
18.24289425,5.104383,1.705988,0.1224515,2.168233
18.24356093,5.07264,1.686607,0.09907215,2.088878
18.2442276,5.058906,1.67333,0.08607008,2.046453
18.24489428,5.043035,1.656391,0.06946649,2.02341
18.24556095,5.027164,1.64113,0.05457209,2.033482
18.24622763,5.040898,1.650745,0.06470516,2.065682
18.2468943,5.089122,1.695306,0.1075571,2.113295
18.24756098,5.111097,1.716213,0.1294714,2.113753
18.24822765,5.112013,1.71957,0.1324014,2.127793
18.24889433,5.111403,1.71896,0.1293493,2.173422
18.249561,5.11476,1.720028,0.1311806,2.230497
18.25022768,5.104993,1.711787,0.1244659,2.255066
18.25089435,5.075693,1.687218,0.100232,2.263307
18.25156103,5.056159,1.668142,0.08014894,2.189903
18.2522277,5.059516,1.66219,0.07605909,2.120773
18.25289438,5.055243,1.652881,0.06922232,2.057288
18.25356105,5.042425,1.644488,0.0603101,2.042943
18.25422773,5.04334,1.650134,0.06464412,2.046911
18.2548944,5.083323,1.69088,0.1063973,2.096356
18.25556108,5.112319,1.719112,0.1333781,2.113753
18.25622775,5.12239,1.724148,0.1353925,2.118484
18.25689443,5.116897,1.722775,0.1350873,2.131455
18.2575611,5.113234,1.720944,0.1381394,2.140459
18.25822778,5.112929,1.718044,0.1340496,2.159535
18.25889445,5.106519,1.71194,0.1257478,2.193566
18.25956113,5.08546,1.692559,0.1059089,2.213557
18.2602278,5.058601,1.669057,0.08057624,2.22424
18.26089448,5.027469,1.63991,0.0524356,2.190514
18.26156115,5.010072,1.620834,0.03198633,2.111922
18.26222783,5.039678,1.642962,0.05463313,2.099866
18.2628945,5.090953,1.698816,0.1107923,2.125809
18.26356118,5.118728,1.727353,0.1393603,2.134049
18.26422785,5.124222,1.726438,0.1378342,2.114516
18.26489453,5.119338,1.723385,0.1355756,2.118026
18.2655612,5.108046,1.717892,0.1308753,2.110548
18.26622788,5.103772,1.716671,0.1297766,2.110548
18.26689455,5.099499,1.711329,0.1247711,2.103223
18.26756123,5.09248,1.698358,0.1104871,2.10185
18.2682279,5.073251,1.683555,0.09547064,2.105207
18.26889458,5.054328,1.668447,0.08112562,2.134202
18.26956125,5.015566,1.632432,0.0441338,2.134355
18.27022793,4.974057,1.588786,0.0004273,2.121688
18.2708946,5.004578,1.615035,0.02801856,2.172049
18.27156128,5.070199,1.676077,0.08979367,2.253388
18.27222795,5.110792,1.713161,0.1270907,2.243011
18.27289463,5.11415,1.718655,0.1335612,2.18441
18.2735613,5.109877,1.718655,0.1319741,2.10307
18.27422798,5.106824,1.716518,0.1277011,2.072854
18.27489465,5.094006,1.708277,0.1197656,2.091778
18.27556133,5.088206,1.699579,0.1127457,2.118942
18.276228,5.08546,1.689812,0.103223,2.097729
18.27689468,5.068673,1.674246,0.08649737,2.069039
18.27756135,5.055243,1.659291,0.07093151,2.054694
18.27822803,5.039678,1.647845,0.05957758,2.059425
18.2788947,5.051276,1.657765,0.07105359,2.117415
18.27956138,5.096142,1.703089,0.1165914,2.217983
18.28022805,5.112929,1.71896,0.1308753,2.257813
18.28089473,5.105604,1.708888,0.1204371,2.258271
18.2815614,5.103162,1.707209,0.1200098,2.205317
18.28222808,5.104993,1.716213,0.1277622,2.18502
18.28289475,5.104077,1.716671,0.1277011,2.150989
18.28356143,5.10072,1.708735,0.1209864,2.121231
18.2842281,5.08668,1.692254,0.106031,2.082163
18.28489478,5.071725,1.677298,0.09223538,2.063087
18.28556145,5.058296,1.666463,0.07978269,2.049048
18.28622813,5.047308,1.653034,0.06702478,2.035923
18.2868948,5.032352,1.636705,0.05164205,2.038518
18.28756148,5.039678,1.64693,0.06104261,2.060493
18.28822815,5.09309,1.696221,0.1118301,2.13115
18.28889483,5.113539,1.717892,0.1324625,2.189446
18.2895615,5.114455,1.719875,0.1325235,2.246826
18.29022818,5.11476,1.718655,0.1317299,2.27811
18.29089485,5.103467,1.707362,0.1209864,2.24942
18.29156153,5.089122,1.694238,0.1094494,2.201196
18.2922282,5.089427,1.693932,0.1068246,2.194329
18.29289488,5.07966,1.681571,0.09296789,2.13115
18.29356155,5.049444,1.658985,0.07129776,2.064766
18.29422823,5.016481,1.643267,0.05457209,2.022189
18.2948949,5.01465,1.635179,0.04852887,2.03104
18.29556158,5.039067,1.652576,0.0664754,2.062782
18.29622825,5.096753,1.708125,0.1221463,2.110243
18.29689493,5.109877,1.721249,0.1360029,2.114363
18.2975616,5.112013,1.717586,0.1329508,2.118026
18.29822828,5.117812,1.717586,0.1328897,2.128861
18.29889495,5.127274,1.729184,0.1421072,2.179679
18.29956163,5.133988,1.737425,0.1495544,2.234922
18.3002283,5.099804,1.708277,0.1198877,2.245758
18.30089498,5.064095,1.673178,0.08387254,2.228666
18.30156165,5.041203,1.654255,0.06494933,2.227292
18.30222833,5.037236,1.647387,0.06183616,2.172354
18.302895,5.022891,1.634111,0.04938347,2.077127
18.30356168,5.036015,1.649829,0.06305701,2.024478
18.30422835,5.090343,1.702478,0.1156757,2.069039
18.30489503,5.109571,1.720028,0.1313027,2.120315
18.3055617,5.116897,1.722928,0.1343548,2.136491
18.30622838,5.112929,1.722928,0.1355756,2.114821
18.30689505,5.105604,1.717586,0.1312416,2.092235
