Zeit,Kanal E,Kanal F,Kanal G,Kanal H
8.85077708,5.055854,1.752991,0.08481871,4.024997
8.85144375,5.064705,1.754975,0.08790135,4.027439
8.85211043,5.051886,1.741698,0.07514345,4.012941
8.8527771,5.077219,1.763521,0.09562324,4.035985
8.85344378,5.089733,1.778934,0.1090831,4.050482
8.85411045,5.080576,1.774814,0.1052375,4.044683
8.85477713,5.09309,1.789311,0.1212306,4.059486
8.8554438,5.088511,1.78397,0.1152179,4.05384
8.85611048,5.077524,1.771609,0.1026126,4.041173
8.85677715,5.084849,1.784886,0.1140581,4.052619
8.85744383,5.083628,1.782292,0.1121658,4.05033
8.8581105,5.077829,1.772525,0.1025821,4.041173
8.85877718,5.088206,1.776187,0.1079233,4.045599
8.85944385,5.081187,1.768099,0.1005677,4.039647
8.86011053,5.090038,1.777866,0.1107008,4.05094
8.8607772,5.097363,1.784733,0.1178427,4.056281
8.86144388,5.078745,1.771304,0.1023379,4.041326
8.86211055,5.07264,1.769015,0.09940788,4.040563
8.86277723,5.058906,1.750855,0.08262117,4.023929
8.8634439,5.037847,1.728879,0.06015749,4.001038
8.86411058,5.083933,1.778171,0.108839,4.049109
8.86477725,5.096447,1.792364,0.1213832,4.061775
8.86544393,5.067757,1.760164,0.08774875,4.030796
8.8661106,5.087596,1.76993,0.09479917,4.044683
8.86677728,5.090343,1.774509,0.1044744,4.048956
8.86744395,5.065926,1.756959,0.08884752,4.02927
8.86811063,5.084849,1.777103,0.1083812,4.050025
8.8687773,5.099194,1.785344,0.1161336,4.061317
8.86944398,5.082102,1.767641,0.1007203,4.043615
8.87011065,5.090648,1.782749,0.1148517,4.056129
8.87077733,5.094616,1.785038,0.116103,4.057044
8.871444,5.082102,1.771609,0.1023379,4.039952
8.87211068,5.095837,1.784886,0.115981,4.053687
8.87277735,5.096142,1.788854,0.1209864,4.059639
8.87344403,5.081492,1.770999,0.1034977,4.043157
8.8741107,5.069283,1.757722,0.0906788,4.031406
8.87477738,5.052802,1.74475,0.07727994,4.018588
8.87544405,5.076914,1.770388,0.1005066,4.043767
8.87611073,5.097668,1.789464,0.1199792,4.064217
8.8767774,5.094006,1.784886,0.1173849,4.058265
8.87744408,5.097363,1.786107,0.1195825,4.059181
8.87811075,5.096447,1.784275,0.1163472,4.056586
8.87877743,5.066231,1.751465,0.08356733,4.023623
8.8794441,5.07844,1.7652,0.097424,4.038274
8.88011078,5.077524,1.771151,0.1026737,4.042089
8.88077745,5.052496,1.747955,0.08060676,4.016451
8.88144413,5.074167,1.76642,0.1003846,4.037205
8.8821108,5.08607,1.776645,0.1099377,4.049109
8.88277748,5.073251,1.761995,0.09431083,4.031406
8.88344415,5.0937,1.781528,0.1134782,4.049261
8.88411083,5.096447,1.783207,0.1157063,4.053382
8.8847775,5.061653,1.750549,0.08414723,4.022708
8.88544418,5.056769,1.747955,0.08030155,4.020571
8.88611085,5.060432,1.751923,0.08161397,4.022555
8.88677753,5.071115,1.763368,0.09415822,4.034916
8.8874442,5.101636,1.791906,0.1244964,4.064217
8.88811088,5.10072,1.791448,0.1236418,4.06208
8.88877755,5.084239,1.775119,0.1062141,4.045446
8.88944423,5.09248,1.784581,0.1146991,4.055213
8.8901109,5.086986,1.781376,0.1123184,4.05384
8.89077758,5.069283,1.769167,0.0992858,4.040105
8.89144425,5.077524,1.780308,0.1080454,4.04804
8.89211093,5.079355,1.778476,0.1070382,4.046515
8.8927776,5.088206,1.780613,0.110304,4.049719
8.89344428,5.098889,1.790074,0.1203455,4.060096
8.89411095,5.088817,1.782444,0.1132646,4.051093
8.89477763,5.086986,1.782292,0.1125015,4.049414
8.8954443,5.072335,1.770236,0.1015139,4.039037
8.89611098,5.040898,1.737425,0.07038213,4.008363
8.89677765,5.055854,1.75116,0.08265169,4.02225
8.89744433,5.06501,1.759095,0.08909169,4.029881
8.898111,5.062569,1.753296,0.08411671,4.026523
8.89877768,5.086375,1.775577,0.1069772,4.050025
8.89944435,5.090648,1.778629,0.1096325,4.053229
8.90011103,5.07142,1.760316,0.09119765,4.034916
8.9007777,5.088817,1.778476,0.1094494,4.052924
8.90144438,5.090038,1.778934,0.1114943,4.052771
8.90211105,5.073556,1.760774,0.09351727,4.033085
8.90277773,5.091259,1.778018,0.1098156,4.049719
8.9034444,5.09309,1.780613,0.111708,4.052771
8.90411108,5.075998,1.763521,0.0955622,4.036747
8.90477775,5.091869,1.77985,0.1128067,4.052008
8.90544443,5.090648,1.783512,0.1157368,4.05506
8.9061111,5.07966,1.774356,0.1055121,4.045904
8.90677778,5.094006,1.785496,0.1159199,4.057044
8.90744445,5.081492,1.76932,0.1007203,4.040868
8.90811113,5.046392,1.736815,0.06879502,4.008973
8.9087778,5.058296,1.749634,0.08124771,4.023318
8.90944448,5.07966,1.768404,0.1001709,4.041631
8.91011115,5.074472,1.763368,0.09464656,4.034611
8.91077783,5.095837,1.784733,0.1161336,4.05735
8.9114445,5.098584,1.787022,0.1176596,4.059181
8.91211118,5.077524,1.768099,0.09882798,4.039647
8.91277785,5.08668,1.779697,0.1109449,4.051856
8.91344453,5.084544,1.776645,0.1089916,4.049109
8.9141112,5.07142,1.764284,0.09702723,4.034916
8.91477788,5.096142,1.787938,0.1201929,4.058265
8.91544455,5.095531,1.789617,0.1207118,4.058876
8.91611123,5.074777,1.772677,0.1028568,4.041936
8.9167779,5.093395,1.789159,0.1205591,4.058723
8.91744458,5.094006,1.787175,0.1197961,4.054297
8.91811125,5.059211,1.753601,0.08573434,4.020724
8.91877793,5.066536,1.757874,0.08945794,4.027591
8.9194446,5.074167,1.764437,0.09580638,4.035069
8.92011128,5.082102,1.773288,0.1050543,4.045904
8.92077795,5.101026,1.792669,0.1242827,4.065438
8.92144463,5.090038,1.784275,0.1173239,4.057502
8.9221113,5.064705,1.759858,0.0928458,4.03278
8.92277798,5.082407,1.775272,0.108137,4.049719
8.92344465,5.089427,1.777103,0.1102124,4.052619
8.92411133,5.075082,1.76169,0.09379196,4.034611
8.924778,5.099194,1.785038,0.1158894,4.056586
8.92544468,5.094311,1.785038,0.1161946,4.055976
8.92611135,5.068673,1.761842,0.09321206,4.032017
8.92677803,5.091259,1.782139,0.1134782,4.053687
8.9274447,5.096753,1.787785,0.118972,4.059028
8.92811138,5.07203,1.764131,0.09510438,4.032322
8.92877805,5.091869,1.77985,0.1126236,4.051703
8.92944473,5.087596,1.772372,0.1055427,4.045446
8.9301114,5.048834,1.734678,0.06684165,4.006073
8.93077808,5.060737,1.751465,0.08475766,4.024692
8.93144475,5.080882,1.775424,0.106794,4.049109
8.93211143,5.064095,1.759553,0.09095348,4.031712
8.9327781,5.090648,1.780308,0.1121047,4.051245
8.93344478,5.094921,1.785649,0.1170492,4.054908
8.93411145,5.070809,1.761995,0.0937004,4.030796
8.93477813,5.090648,1.781223,0.1115554,4.050635
8.9354448,5.08607,1.781071,0.1116164,4.052008
8.93611148,5.058296,1.752991,0.08500183,4.025302
8.93677815,5.082102,1.77283,0.1050238,4.047125
8.93744483,5.095531,1.785038,0.1172018,4.060249
8.9381115,5.075387,1.767336,0.09895007,4.040105
8.93877818,5.095837,1.786107,0.1172323,4.057044
8.93944485,5.099194,1.78748,0.1187889,4.056739
8.94011153,5.069894,1.758332,0.08976315,4.027744
8.9407782,5.073862,1.760774,0.09122817,4.032322
8.94144487,5.061042,1.748108,0.07944696,4.022555
8.94211155,5.036625,1.728727,0.06150043,4.004853
8.94277822,5.07844,1.772067,0.1047796,4.047888
8.9434449,5.090038,1.784428,0.1164083,4.059944
8.94411157,5.067147,1.761384,0.09452447,4.039952
8.94477825,5.08546,1.780002,0.1171408,4.066353
8.94544492,5.08668,1.777408,0.1109449,4.055518
8.9461116,5.059516,1.751465,0.08234648,4.023013
8.94677827,5.084849,1.777103,0.1094799,4.049567
8.94744495,5.101636,1.789617,0.123184,4.060554
8.94811162,5.075082,1.764131,0.0972714,4.032627
8.9487783,5.088206,1.777561,0.109602,4.048498
8.94944497,5.09248,1.778018,0.1099683,4.050482
8.95011165,5.068062,1.756043,0.0865279,4.026065
8.95077832,5.082713,1.775119,0.1039556,4.043157
8.951445,5.078745,1.775577,0.1057868,4.04331
8.95211167,5.045782,1.742156,0.07444146,4.013093
8.95277835,5.050665,1.748108,0.0800879,4.021182
8.95344502,5.055854,1.751465,0.08356733,4.024234
8.9541117,5.054023,1.748565,0.08167501,4.021182
8.95477837,5.088817,1.779697,0.1107618,4.050177
8.95544505,5.087901,1.782444,0.1122268,4.052771
8.95611172,5.061653,1.758638,0.08921377,4.028659
8.9567784,5.094616,1.780765,0.1135087,4.051093
8.95744507,5.097058,1.783818,0.1152484,4.052619
8.95811175,5.055854,1.750397,0.08164449,4.019351
8.95877842,5.074167,1.76581,0.09974362,4.039189
8.9594451,5.082713,1.77283,0.1052985,4.044378
8.96011177,5.058906,1.752533,0.08124771,4.020419
8.96077845,5.088511,1.779697,0.1075876,4.048346
8.96144512,5.10011,1.789006,0.1186668,4.05857
8.9621118,5.078135,1.771304,0.1005372,4.039037
8.96277847,5.097973,1.795874,0.1261751,4.065896
8.96344515,5.069283,1.766573,0.09855329,4.040563
8.96411182,5.022891,1.718807,0.0511537,3.991729
8.9647785,5.049139,1.743224,0.07395312,4.015383
8.96544517,5.081187,1.774203,0.1039861,4.047277
8.96611185,5.072946,1.763674,0.09434135,4.036595
8.96677852,5.089427,1.782749,0.1152179,4.05796
8.9674452,5.0937,1.787175,0.121139,4.063454
8.96811187,5.070199,1.760621,0.09296789,4.033237
8.96877855,5.082407,1.774661,0.1069772,4.047277
8.96944522,5.084849,1.775882,0.1060615,4.048651
8.9701119,5.067147,1.757874,0.08719936,4.031712
8.97077857,5.088817,1.781681,0.1128678,4.055518
8.97144525,5.094311,1.786564,0.1178733,4.058876
8.97211192,5.078745,1.772525,0.1035588,4.044073
8.9727786,5.09309,1.785801,0.1166829,4.05796
8.97344527,5.089122,1.780918,0.1121963,4.053382
8.97411195,5.071115,1.7652,0.0964168,4.036442
8.97477862,5.074472,1.767336,0.0997131,4.04041
8.9754453,5.075998,1.763368,0.09669149,4.037053
8.97611197,5.090038,1.77634,0.1096936,4.049109
8.97677865,5.101331,1.788701,0.1215969,4.061775
8.97744532,5.089733,1.779392,0.1115248,4.05155
8.978112,5.087291,1.777866,0.108839,4.049414
8.97877867,5.086375,1.774509,0.1052069,4.04682
8.97944535,5.060737,1.748108,0.08088145,4.022403
8.98011202,5.081187,1.770083,0.1027652,4.045446
8.9807787,5.089733,1.778782,0.1108534,4.05033
8.98144537,5.061348,1.751312,0.08350629,4.019656
8.98211205,5.073556,1.768557,0.1000794,4.038732
8.98277872,5.07966,1.774509,0.1063973,4.045904
8.9834454,5.059211,1.751618,0.08417775,4.021945
8.98411207,5.083933,1.777713,0.1091137,4.045904
8.98477875,5.086986,1.781528,0.113936,4.050482
8.98544542,5.047918,1.743377,0.07529606,4.012331
8.9861121,5.052802,1.745361,0.07898913,4.018588
8.98677877,5.060737,1.749939,0.08436088,4.025302
8.98744545,5.058601,1.749786,0.08304846,4.023929
8.98811212,5.081187,1.773288,0.1052375,4.04804
8.9887788,5.090038,1.780918,0.1109144,4.053076
8.98944547,5.068062,1.760621,0.09107557,4.030033
8.99011215,5.084239,1.778324,0.1082591,4.047735
8.99077882,5.083323,1.776645,0.1072519,4.046972
8.9914455,5.058296,1.748871,0.07996581,4.01874
8.99211217,5.07966,1.767031,0.09919424,4.037969
8.99277885,5.08668,1.777561,0.1091442,4.048498
8.99344552,5.065316,1.760469,0.09144183,4.030491
8.9941122,5.090038,1.780613,0.111708,4.050787
8.99477887,5.097973,1.787175,0.1179648,4.055823
8.99544555,5.07264,1.762758,0.09418874,4.030491
8.99611222,5.08546,1.774203,0.105268,4.043157
8.9967789,5.080882,1.765352,0.09531803,4.033085
8.99744557,5.044561,1.73361,0.06446099,4.003022
8.99811225,5.061042,1.750855,0.08375046,4.023929
8.99877892,5.087596,1.77344,0.1070382,4.047125
8.9994456,5.069894,1.75879,0.09034306,4.031101
9.00011227,5.080271,1.773288,0.1041692,4.044836
9.00077895,5.083018,1.775729,0.1057258,4.046667
9.00144562,5.057685,1.749481,0.08036259,4.020724
9.0021123,5.08668,1.771914,0.1035893,4.046057
9.00277897,5.098889,1.787022,0.1173849,4.059791
9.00344565,5.0644,1.755585,0.08771823,4.027896
9.00411232,5.082407,1.77222,0.1058174,4.045293
9.004779,5.092785,1.781071,0.1137529,4.05445
9.00544567,5.063789,1.752838,0.08576486,4.027591
9.00611235,5.081797,1.767183,0.09907215,4.040563
9.00677902,5.098279,1.778324,0.1103345,4.05155
9.0074457,5.072946,1.761232,0.09360884,4.033543
9.00811237,5.069589,1.760774,0.09305945,4.033085
9.00877905,5.052496,1.744292,0.07605909,4.017366
9.00944572,5.033573,1.727048,0.0565865,3.998596
9.0101124,5.084544,1.777103,0.103162,4.048346
9.01077907,5.094616,1.77985,0.1093578,4.053992
9.01144575,5.068978,1.756348,0.0876877,4.029727
9.01211242,5.094921,1.785344,0.1157978,4.058876
9.0127791,5.094616,1.786107,0.1157673,4.05857
9.01344577,5.061653,1.754364,0.08414723,4.022708
9.01411245,5.075082,1.771609,0.1030704,4.04041
9.01477912,5.089122,1.782902,0.1164083,4.05384
9.0154458,5.075082,1.765657,0.1001404,4.037053
9.01611247,5.088511,1.779697,0.1133256,4.051093
9.01677915,5.097973,1.789769,0.120315,4.059486
9.01744582,5.077219,1.76581,0.09602002,4.032627
9.0181125,5.078135,1.769015,0.1013002,4.039952
9.01877917,5.060127,1.753601,0.08735197,4.027744
9.01944585,5.027774,1.721859,0.05426688,3.994476
9.02011252,5.05738,1.748718,0.08042364,4.023471
9.0207792,5.092174,1.787022,0.1172628,4.061317
9.02144587,5.069283,1.765047,0.09608106,4.036747
9.02211255,5.091869,1.781071,0.1117385,4.051093
9.02277922,5.096447,1.785038,0.1159504,4.054755
9.0234459,5.060127,1.752991,0.08445245,4.021334
9.02411257,5.068367,1.766726,0.09754609,4.0369
9.02477925,5.07905,1.775424,0.1061226,4.046362
9.02544592,5.05738,1.753754,0.08530705,4.023776
9.0261126,5.083018,1.778476,0.1098462,4.048651
9.02677927,5.093395,1.786107,0.117507,4.055366
9.02744595,5.070504,1.761842,0.0937004,4.030491
9.02811262,5.087291,1.777713,0.1094799,4.046972
9.0287793,5.093395,1.780765,0.1120132,4.05155
9.02944597,5.056159,1.751465,0.08228543,4.022403
9.03011265,5.063789,1.761995,0.09257111,4.032017
9.03077932,5.060127,1.757417,0.08933586,4.028354
9.031446,5.032352,1.732542,0.06406422,4.00409
9.03211267,5.071115,1.772525,0.1027652,4.044683
