Zeit,Kanal E,Kanal F,Kanal G,Kanal H
19.81358051,5.030521,1.698511,0.05585399,2.448114
19.81424719,5.030216,1.695764,0.05356489,2.409046
19.81491386,5.038762,1.700342,0.05692223,2.353498
19.81558054,5.078745,1.735594,0.09110609,2.315041
19.81624721,5.090648,1.750397,0.1062141,2.305579
19.81691389,5.075387,1.739257,0.09858381,2.327555
19.81758056,5.076914,1.744598,0.1042303,2.368758
19.81824724,5.073556,1.743072,0.1028568,2.359907
19.81891391,5.059211,1.724759,0.08545965,2.315957
19.81958059,5.033879,1.703699,0.06333171,2.29276
19.82024726,5.028995,1.698053,0.05707484,2.319314
19.82091394,5.057685,1.72247,0.08149188,2.409657
19.82158061,5.083018,1.747497,0.1059089,2.494811
19.82224729,5.087291,1.751923,0.1100293,2.520144
19.82291396,5.079966,1.741546,0.1014833,2.510072
19.82358064,5.075387,1.735747,0.09476864,2.440789
19.82424731,5.069589,1.733915,0.09141131,2.393786
19.82491399,5.047308,1.712856,0.07187767,2.329081
19.82558066,5.042425,1.705225,0.06653644,2.297033
19.82624734,5.077219,1.739714,0.1002625,2.327249
19.82691401,5.097668,1.764742,0.1223904,2.359907
19.82758069,5.110792,1.770236,0.1315468,2.358381
19.82824736,5.127884,1.778629,0.1474179,2.377304
19.82891404,5.097973,1.761232,0.1230009,2.366622
19.82958071,5.069283,1.734373,0.09232694,2.355634
19.83024739,5.044256,1.710566,0.06806251,2.362349
19.83091406,5.020449,1.690117,0.04852887,2.384935
19.83158074,5.025027,1.693475,0.05356489,2.435295
19.83224741,5.066231,1.730405,0.09202173,2.511903
19.83291409,5.081187,1.741546,0.1008729,2.512819
19.83358076,5.079355,1.739409,0.0982786,2.431327
19.83424744,5.082102,1.750092,0.1059089,2.389818
19.83491411,5.07142,1.74063,0.09614211,2.351361
19.83558079,5.051276,1.717739,0.07447198,2.311073
19.83624746,5.034794,1.698968,0.05799048,2.281773
19.83691414,5.04334,1.707362,0.06745208,2.286656
19.83758081,5.087901,1.751312,0.1094189,2.327249
19.83824749,5.105299,1.763826,0.1222378,2.355634
19.83891416,5.102857,1.759553,0.1179648,2.362959
19.83958084,5.095226,1.752075,0.1101819,2.372116
19.84024751,5.076608,1.736204,0.09675253,2.387071
19.84091419,5.058906,1.722165,0.08256012,2.418203
19.84158086,5.039983,1.707667,0.06577341,2.436516
19.84224754,5.026859,1.698358,0.05997436,2.454218
19.84291421,5.0351,1.713771,0.07996581,2.484129
19.84358089,5.063179,1.732084,0.09263216,2.472531
19.84424756,5.085765,1.74826,0.1048407,2.438347
19.84491424,5.091564,1.749786,0.1040776,2.391344
19.84558091,5.08546,1.747345,0.1037724,2.332743
19.84624759,5.075693,1.740325,0.09766817,2.304969
19.84691426,5.055243,1.720333,0.07859236,2.286961
19.84758094,5.034184,1.702631,0.06150043,2.293066
19.84824761,5.051581,1.714076,0.07370895,2.325418
19.84891429,5.080882,1.739257,0.09919424,2.353803
19.84958096,5.092174,1.752991,0.1109449,2.366011
19.85024764,5.096447,1.757569,0.115981,2.382798
19.85091431,5.091259,1.75528,0.1143023,2.441094
19.85158099,5.081492,1.743835,0.1028568,2.491149
19.85224766,5.059211,1.717434,0.07630326,2.481077
19.85291434,5.021975,1.68035,0.03998291,2.458186
19.85358101,5.022281,1.678977,0.03967769,2.415456
19.85424769,5.080882,1.736357,0.0959895,2.410267
19.85491436,5.10011,1.760164,0.1187279,2.361738
19.85558104,5.098889,1.762453,0.1205591,2.333964
19.85624771,5.091869,1.757417,0.1161336,2.333354
19.85691439,5.075387,1.74826,0.1046881,2.333354
19.85758106,5.057685,1.723843,0.08164449,2.297338
19.85824774,5.036931,1.698053,0.05707484,2.27811
19.85891441,5.032047,1.691491,0.05097058,2.298254
19.85958109,5.057075,1.720486,0.08027103,2.35716
19.86024776,5.087596,1.752075,0.1101819,2.42156
19.86091444,5.095837,1.76169,0.1219326,2.463985
19.86158111,5.082713,1.752686,0.1164388,2.484129
19.86224779,5.062569,1.731168,0.09278476,2.503052
19.86291446,5.038152,1.704767,0.06607862,2.489623
19.86358114,5.01404,1.683555,0.04532414,2.40752
19.86424781,5.021975,1.689659,0.05036015,2.318398
19.86491449,5.051886,1.713161,0.07126725,2.282078
19.86558116,5.089733,1.746887,0.1046881,2.323282
19.86624784,5.104077,1.7623,0.1204065,2.379746
19.86691451,5.097668,1.759706,0.1191857,2.374557
19.86758119,5.083628,1.747345,0.1052985,2.333659
19.86824786,5.071115,1.72949,0.08790135,2.315651
19.86891454,5.047918,1.710261,0.06867293,2.308021
19.86958121,5.026554,1.695611,0.05234404,2.307105
19.87024789,5.027469,1.699274,0.05600659,2.348309
19.87091456,5.068673,1.736662,0.09492125,2.44262
19.87158124,5.08607,1.753144,0.1120132,2.493896
19.87224791,5.07203,1.743377,0.1011781,2.503052
19.87291459,5.057991,1.729642,0.08545965,2.505494
19.87358126,5.047308,1.719875,0.07813454,2.448114
19.87424794,5.045171,1.716518,0.07691368,2.353803
19.87491461,5.031132,1.70141,0.06043218,2.292455
19.87558129,5.034184,1.702936,0.05966915,2.287877
19.87624796,5.07264,1.742461,0.09858381,2.338542
19.87691464,5.094616,1.762453,0.1187279,2.337016
19.87758131,5.09248,1.759248,0.1161336,2.330607
19.87824799,5.087291,1.756043,0.1136919,2.35014
19.87891466,5.077219,1.747192,0.103925,2.379746
19.87958134,5.05738,1.724606,0.0819497,2.358686
19.88024801,5.032963,1.703241,0.0631791,2.340984
19.88091469,5.033879,1.701715,0.06150043,2.386156
19.88158136,5.068673,1.732542,0.09217434,2.465511
19.88224804,5.081187,1.749634,0.1089611,2.489317
19.88291471,5.074472,1.742461,0.09888902,2.49237
19.88358139,5.074777,1.738188,0.09537907,2.472531
19.88424806,5.081492,1.745819,0.1025516,2.423392
19.88491474,5.066231,1.731016,0.08774875,2.324197
19.88558141,5.047003,1.707057,0.06470516,2.262849
19.88624809,5.048529,1.709498,0.06684165,2.276279
19.88691476,5.091259,1.751923,0.1097241,2.333354
19.88758144,5.105299,1.765963,0.1234587,2.345257
19.88824811,5.099804,1.761995,0.1216274,2.358076
19.88891479,5.096447,1.757417,0.1188805,2.374863
19.88958146,5.084849,1.750855,0.1094189,2.394701
19.89024814,5.060127,1.727811,0.08622268,2.407215
19.89091481,5.025638,1.693169,0.0514284,2.41393
19.89158149,5.017092,1.684929,0.04288243,2.425223
19.89224816,5.019228,1.689965,0.05036015,2.448724
19.89291484,5.068978,1.734831,0.09537907,2.496337
19.89358151,5.103162,1.766726,0.1254426,2.493896
19.89424819,5.101331,1.762453,0.1219326,2.400195
19.89491486,5.088817,1.751312,0.1086558,2.321756
19.89558154,5.076608,1.73651,0.09324259,2.301306
19.89624821,5.067452,1.719265,0.07615066,2.322061
19.89691489,5.046698,1.702021,0.05646441,2.30619
19.89758156,5.038457,1.704157,0.0586009,2.286351
19.89824824,5.075387,1.742766,0.09919424,2.314736
19.89891491,5.090648,1.759248,0.1144549,2.354108
19.89958159,5.088817,1.755128,0.1106397,2.372421
19.90024826,5.082713,1.74826,0.1057563,2.410267
19.90091494,5.071115,1.736357,0.09629472,2.455744
19.90158161,5.048834,1.718044,0.07752411,2.472531
19.90224829,5.014956,1.690117,0.04974972,2.460017
19.90291496,5.016481,1.688133,0.04929191,2.47833
19.90358164,5.076303,1.742614,0.103925,2.473141
19.90424831,5.094921,1.761537,0.1207118,2.381272
19.90491499,5.090648,1.756501,0.1139971,2.316872
19.90558166,5.0937,1.754212,0.1118606,2.318398
19.90624834,5.085155,1.747802,0.1045355,2.346173
19.90691501,5.067757,1.733457,0.08958003,2.330607
19.90758169,5.043035,1.709193,0.06546819,2.277194
19.90824836,5.038152,1.705836,0.06272128,2.279026
19.90891504,5.064705,1.734373,0.09263216,2.35014
19.90958171,5.077829,1.746124,0.1045355,2.383409
19.91024839,5.090038,1.756959,0.1144549,2.408741
19.91091506,5.097973,1.762605,0.121017,2.462764
19.91158174,5.081492,1.749634,0.1080454,2.492064
19.91224841,5.051581,1.721707,0.07905018,2.459712
19.91291509,5.030521,1.698053,0.05707484,2.398669
19.91358176,5.027164,1.693932,0.05509095,2.380662
19.91424844,5.037541,1.702783,0.06470516,2.359297
19.91491511,5.080576,1.739409,0.1005677,2.35655
19.91558179,5.104077,1.76169,0.1219326,2.342205
19.91624846,5.104688,1.76581,0.1251373,2.340984
19.91691514,5.096753,1.761537,0.117507,2.340679
19.91758181,5.083323,1.742766,0.09888902,2.322061
19.91824849,5.055549,1.718044,0.07615066,2.311683
19.91891516,5.024722,1.69378,0.05203882,2.304969
19.91958184,5.023196,1.694848,0.05295446,2.338847
19.92024851,5.068978,1.736052,0.09614211,2.427665
19.92091519,5.096753,1.758485,0.1187279,2.489317
19.92158186,5.092174,1.756043,0.1161336,2.50763
19.92224854,5.066842,1.740477,0.09782077,2.489012
19.92291521,5.052191,1.725369,0.08088145,2.438652
19.92358189,5.054938,1.722317,0.07752411,2.424612
19.92424856,5.047613,1.70904,0.06684165,2.355329
19.92491524,5.040288,1.702478,0.06150043,2.296423
19.92558191,5.062874,1.725217,0.08484922,2.296423
19.92624859,5.093395,1.753907,0.1139971,2.351972
19.92691526,5.101636,1.763063,0.12178,2.373337
19.92758194,5.091259,1.75116,0.1098767,2.354413
19.92824861,5.075998,1.738799,0.09522647,2.332133
19.92891529,5.056769,1.725217,0.08286534,2.328775
19.92958196,5.039067,1.707209,0.0656208,2.330302
19.93024864,5.040593,1.706293,0.06424734,2.377609
19.93091531,5.073251,1.734068,0.09415822,2.44964
19.93158199,5.082407,1.747192,0.1068246,2.501831
19.93224866,5.074472,1.74063,0.09965205,2.514956
19.93291534,5.073556,1.736052,0.09431083,2.52228
19.93358201,5.080576,1.745513,0.1030094,2.4707
19.93424869,5.067452,1.735747,0.09339519,2.37822
19.93491536,5.039678,1.710109,0.06684165,2.276279
19.93558204,5.033573,1.699426,0.05692223,2.237822
19.93624871,5.061348,1.725675,0.08500183,2.302527
19.93691538,5.088511,1.755585,0.1136919,2.363875
19.93758206,5.091564,1.759553,0.117507,2.351056
