Zeit,Kanal A,Kanal B,Kanal C,Kanal D
9.10678027,14.17837,14.16921,0.9858381,0.09400561
9.10744695,14.19912,14.19363,0.97424,0.08301795
9.10811362,14.2333,14.23147,0.9849225,0.0937004
9.1087803,14.2504,14.25772,1.001099,0.1100293
9.10944697,14.23269,14.23086,0.9933158,0.1022464
9.11011365,14.19668,14.1918,0.9630997,0.0724881
9.11078032,14.24307,14.23636,0.9737822,0.0842388
9.111447,14.28641,14.28153,0.9875168,0.0982786
9.11211367,14.27481,14.2681,0.9693566,0.08210231
9.11278035,14.23697,14.22842,0.9557746,0.06867293
9.11344702,14.2504,14.23453,0.9731718,0.08790135
9.1141137,14.25772,14.24612,0.9843121,0.1005677
9.11478037,14.20767,14.2095,0.9731718,0.08713832
9.11544705,14.14418,14.15639,0.9568428,0.06699426
9.11611372,14.14846,14.1509,0.9690514,0.07737151
9.1167804,14.15822,14.14907,0.9862959,0.09293737
9.11744707,14.19607,14.18691,0.9910267,0.09705774
9.11811375,14.19241,14.19485,0.9739348,0.08042364
9.11878042,14.20889,14.21865,0.9850751,0.09263216
9.1194471,14.21865,14.21743,1.00232,0.1095715
9.12011377,14.20522,14.20278,0.9917898,0.09934685
9.12078045,14.23269,14.22964,0.97424,0.08210231
9.12144712,14.26444,14.25711,0.9846172,0.09446344
9.1221138,14.26444,14.25589,0.9858381,0.0959895
9.12278047,14.23575,14.22232,0.9672201,0.07706629
9.12344715,14.21743,14.21194,0.963405,0.07126725
9.12411382,14.24734,14.24429,0.9783604,0.08729093
9.1247805,14.24368,14.23941,0.9798865,0.09110609
9.12544717,14.19729,14.19851,0.9571481,0.06882554
9.12611385,14.19973,14.19302,0.9659992,0.07584544
9.12678052,14.19668,14.19057,0.9899585,0.09461604
9.1274472,14.56782,14.58674,1.155384,0.2600415
9.12811387,15.20388,15.24539,1.420156,0.5301551
9.12878055,14.61604,14.63435,1.164846,0.2690453
9.12944722,14.24063,14.2449,1.013918,0.1149127
9.1301139,14.22476,14.22049,0.9998779,0.1030094
9.13078057,14.21194,14.21194,0.9707301,0.07599805
9.13144725,14.23758,14.24124,0.9756135,0.08149188
9.13211392,14.26749,14.26077,0.9869063,0.09354779
9.1327806,14.24002,14.23392,0.9795812,0.08713832
9.13344727,14.19668,14.20278,0.9614211,0.06729947
9.13411395,14.23819,14.24918,0.9763765,0.08271273
9.13478062,14.26871,14.27481,0.9907215,0.1022464
9.1354473,14.25162,14.2504,0.983549,0.09644732
9.13611397,14.21072,14.21682,0.9708827,0.08347577
9.13678065,14.21194,14.22049,0.9852277,0.09400561
9.13744732,14.17653,14.1863,0.9818704,0.0868331
9.138114,14.08314,13.98547,0.9579111,0.06134782
9.13878067,14.07643,11.07557,0.9615737,0.06256867
9.13944734,14.13258,6.588939,1.002777,0.1063667
9.14011402,14.16921,11.17019,1.017733,0.1216274
9.14078069,14.16799,14.0575,1.011323,0.1146075
9.14144737,14.15578,14.1509,0.9910267,0.09492125
9.14211404,14.17898,14.17592,0.9902637,0.09568429
9.14278072,14.17104,14.16738,0.9843121,0.09034306
9.14344739,14.13136,14.12404,0.959132,0.06638384
9.14411407,14.17653,14.17043,0.9695092,0.07920279
9.14478074,14.20645,14.19668,0.9893481,0.09812599
9.14544742,14.17348,14.16372,0.9827859,0.09003785
9.14611409,14.11244,14.10634,0.9602002,0.06897815
9.14678077,14.14113,14.13442,0.9766817,0.08774875
9.14744744,14.17531,14.17226,0.9917898,0.1028568
9.14811412,14.12404,14.12404,0.9806495,0.08942742
9.14878079,14.05933,14.06116,0.955622,0.06211085
9.14944747,14.05994,14.06361,0.97424,0.08088145
9.15011414,14.14296,14.14174,1.003541,0.1112501
9.15078082,14.15822,14.15944,0.9952997,0.1017886
9.15144749,14.12465,14.12038,0.9614211,0.06729947
9.15211417,14.17531,14.1747,0.9667623,0.07203028
9.15278084,14.19912,14.20217,0.9983518,0.1033146
9.15344752,14.18569,14.18325,0.9946893,0.1016359
9.15411419,14.14785,14.14601,0.967678,0.07416677
9.15478087,14.17409,14.16005,0.9800391,0.08530705
9.15544754,14.20584,14.19118,0.9963679,0.1008729
9.15611422,14.16982,14.16066,0.9888902,0.09492125
9.15678089,14.12282,14.11915,0.9695092,0.07691368
9.15744757,14.1686,14.17043,0.9841594,0.09141131
9.15811424,14.19057,14.19851,1.001557,0.1104871
9.15878092,14.14846,14.15395,0.9931632,0.1030094
9.15944759,14.05262,14.04835,0.9647784,0.07187767
9.16011427,14.03736,14.03186,0.9624893,0.06775729
9.16078094,14.07887,14.07215,0.9803443,0.08469662
9.16144762,14.13503,14.13197,0.9899585,0.09476864
9.16211429,14.14662,14.14418,0.9621841,0.06714687
9.16278097,14.16433,14.15761,0.9808021,0.08774875
9.16344764,14.18691,14.18325,1.001404,0.1080454
9.16411432,14.17653,14.17043,0.9940789,0.1001099
9.16478099,14.14662,14.13381,0.969967,0.07660847
9.16544767,14.19363,14.19118,0.9675253,0.07508241
9.16611434,14.23575,14.24185,0.9872116,0.09522647
9.16678102,14.23453,14.23697,0.9859907,0.09659992
9.16744769,14.20461,14.20156,0.9573007,0.06897815
9.16811437,14.23514,14.22598,0.967678,0.08011842
9.16878104,14.26505,14.25589,0.9901111,0.1034672
9.16944772,14.2095,14.20645,0.9862959,0.09812599
9.17011439,14.12831,14.13014,0.9519594,0.06073739
9.17078107,14.14113,14.14418,0.9685935,0.07523501
9.17144774,14.20217,14.1979,1.011781,0.1184227
9.17211442,14.21743,14.21438,1.000031,0.1063667
9.17278109,14.18325,14.18569,0.9698144,0.0724881
9.17344777,14.20645,14.21255,0.9789708,0.08271273
9.17411444,14.23514,14.23697,0.9934684,0.1004151
9.17478112,14.22049,14.21499,0.9833964,0.09003785
9.17544779,14.20278,14.18691,0.9577585,0.06424734
9.17611447,14.23025,14.2156,0.9716457,0.08042364
9.17678114,14.25955,14.24979,0.9924002,0.1036198
9.17744782,14.2504,14.24551,0.9821755,0.09400561
9.17811449,14.20767,14.19851,0.9531803,0.06546819
9.17878117,14.23025,14.21865,0.9602002,0.07340373
9.17944784,14.24246,14.23025,0.9824808,0.09629472
9.18011452,14.2333,14.2211,0.9745452,0.09003785
9.18078119,14.17287,14.16311,0.9458552,0.05982175
9.18144787,14.14846,14.14235,0.9502808,0.06104261
9.18211454,14.12099,14.11122,0.9145709,0.02609571
9.18278122,14.07948,14.06727,0.856733,-0.03189476
9.18344789,14.17287,14.16311,0.9417348,0.05020754
9.18411457,14.21621,14.21072,0.9768343,0.08454401
9.18478124,14.24002,14.23269,0.9898059,0.09782077
9.18544792,14.25772,14.25467,1.003693,0.1147601
9.18611459,14.23269,14.22964,0.9994201,0.1115554
9.18678127,14.23697,14.23025,0.9817177,0.09156391
9.18744794,14.26322,14.26016,0.9815651,0.09431083
9.18811462,14.25101,14.24857,0.9777499,0.09247955
9.18878129,14.22659,14.21743,0.9656941,0.08103406
9.18944797,14.22659,14.21682,0.9695092,0.08713832
9.19011464,14.2626,14.25955,0.9818704,0.1010255
9.19078132,14.24857,14.2504,0.9795812,0.09766817
9.19144799,14.18935,14.19546,0.9522647,0.0703516
9.19211467,14.1747,14.17715,0.9466182,0.06424734
9.19278134,14.14723,14.14968,0.9588267,0.07233549
9.19344802,14.11488,14.12099,0.9568428,0.06729947
9.19411469,14.15029,14.15212,0.9588267,0.06714687
9.19478137,14.22232,14.21926,0.9769869,0.08759614
9.19544804,14.26566,14.25894,0.992095,0.1045355
9.19611472,14.22964,14.22903,0.9898059,0.103925
9.19678139,14.18386,14.18996,0.969204,0.08378097
9.19744807,14.21377,14.21316,0.9655414,0.08011842
9.19811474,14.25284,14.24063,0.9794286,0.09400561
9.19878142,14.25162,14.23086,0.9780552,0.09278476
9.19944809,14.20706,14.18569,0.9580637,0.07340373
9.20011477,14.24734,14.23208,0.9658467,0.08332316
9.20078144,14.27298,14.26016,0.9794286,0.09934685
9.20144812,14.2565,14.24185,0.9643206,0.08454401
9.20211479,14.2333,14.21804,0.9298315,0.04822366
9.20278147,14.19363,14.19118,0.9524173,0.06668904
9.20344814,14.16066,14.16921,0.9687462,0.08225492
9.20411482,14.12648,14.13503,0.9646258,0.07569283
9.20478149,14.157,14.16188,0.9635575,0.07203028
9.20544817,14.21988,14.22598,0.9800391,0.08927481
9.20611484,14.23453,14.23392,0.9942315,0.1027042
9.20678152,14.21621,14.21194,0.9855329,0.09553168
9.20744819,14.17898,14.18203,0.9592845,0.06928336
9.20811487,14.23636,14.2333,0.9695092,0.08072884
9.20878154,14.28336,14.2681,0.9905689,0.1030094
9.20944822,14.23758,14.22598,0.9846172,0.09858381
9.21011489,14.19851,14.19241,0.9550116,0.06821512
9.21078157,14.24002,14.23086,0.9637101,0.07523501
9.21144824,14.26566,14.2565,0.9765291,0.09003785
9.21211492,14.23269,14.23208,0.9702722,0.08500183
9.21278159,14.18081,14.18386,0.9527225,0.06729947
9.21344827,14.20706,14.20034,0.9695092,0.08286534
9.21411494,14.18813,14.17653,0.9850751,0.09476864
9.21478162,14.11732,14.10817,0.9632523,0.07065682
9.21544829,14.07704,14.07398,0.9301367,0.03815163
9.21611497,14.16616,14.16494,0.9562324,0.06501038
9.21678164,14.2272,14.22354,0.9887376,0.09766817
9.21744832,14.21133,14.20461,0.9844646,0.09400561
9.21811499,14.17287,14.16982,0.9603528,0.07126725
9.21878167,14.20461,14.20339,0.9725614,0.0842388
9.21944834,14.22171,14.21926,0.9936211,0.1060615
9.22011502,14.23514,14.22842,0.9907215,0.1052985
9.22078169,14.22415,14.2211,0.9806495,0.09690514
9.22144837,14.26383,14.26016,0.9647784,0.08011842
9.22211504,14.32792,14.31876,0.9679831,0.08347577
9.22278172,14.27176,14.2626,0.9675253,0.08500183
9.22344839,14.19607,14.19057,0.9432609,0.06165303
9.22411507,14.20339,14.19668,0.9554694,0.07218288
9.22478174,14.20339,14.19973,0.9707301,0.08713832
9.22544842,14.13686,14.13625,0.9740874,0.08805396
9.22611509,14.09596,14.09046,0.9789708,0.08866438
9.22678177,14.18813,14.16738,0.9856855,0.09293737
9.22744844,14.26383,14.23697,0.9936211,0.1019412
9.22811512,14.26383,14.24857,0.9956049,0.1051459
9.22878179,14.21865,14.21316,0.988585,0.09965205
9.22944847,14.1863,14.17959,0.9717983,0.08362837
9.23011514,14.22537,14.22049,0.9753082,0.08774875
9.23078182,14.24063,14.23392,0.9853803,0.09949945
9.23144849,14.23514,14.22964,0.9736296,0.0889696
9.23211517,14.25467,14.24551,0.9566903,0.0727933
9.23278184,14.26199,14.25223,0.9804969,0.09385301
9.23344852,14.2681,14.26566,0.9994201,0.1088084
9.23411519,14.24185,14.24185,0.9925528,0.1036198
9.23478187,14.2156,14.21499,0.969204,0.08240752
9.23544854,14.23086,14.23025,0.9789708,0.09141131
9.23611522,14.1918,14.18691,0.9806495,0.09171651
9.23678189,14.11854,14.10511,0.9678305,0.07599805
9.23744857,14.06422,14.05628,0.9464656,0.0514284
9.23811524,14.17653,14.05811,0.9736296,0.08027103
9.23878192,14.20706,11.21902,0.9998779,0.1097241
9.23944859,14.12221,6.609694,0.9983518,0.1065193
9.24011527,14.10267,11.11098,0.9707301,0.07630326
9.24078194,14.1625,14.04835,0.9759187,0.08484922
9.24144862,14.2272,14.22659,0.9922476,0.1054511
9.24211529,14.19668,14.19851,0.9820229,0.0959895
9.24278197,14.12526,14.12831,0.9519594,0.06424734
9.24344864,14.15578,14.14968,0.9608107,0.0726407
9.24411532,14.18874,14.18447,0.9818704,0.09568429
9.24478199,14.17348,14.18325,0.9797338,0.09690514
9.24544867,14.12465,14.12892,0.9559273,0.07172506
9.24611534,14.13319,14.13258,0.9638628,0.07782932
9.24678202,14.13014,14.13442,0.9821755,0.09400561
9.24744869,14.06727,14.07704,0.9780552,0.08759614
9.24811537,14.03431,14.03247,0.964931,0.07386155
9.24878204,14.09107,14.08802,0.9705775,0.07950799
9.24944872,14.15212,14.14907,0.9974362,0.1069772
9.25011539,14.18325,14.17653,1.005219,0.1156757
9.25078207,14.14907,14.14601,0.9844646,0.09415822
9.25144874,14.16005,14.15456,0.9685935,0.07874496
9.25211542,14.20767,14.19729,0.9783604,0.09171651
9.25278209,14.19851,14.20217,0.9870589,0.102399
9.25344877,14.15639,14.16494,0.9754609,0.09186912
9.25411544,14.14357,14.14785,0.9652362,0.08118667
9.25478212,14.19485,14.19607,0.9809547,0.09782077
9.25544879,14.21255,14.204,0.9924002,0.1100293
9.25611547,14.16311,14.16188,0.9824808,0.09995727
9.25678214,14.12709,14.11732,0.9658467,0.08256012
9.25744882,14.13014,14.11366,0.9717983,0.08698571
9.25811549,14.10634,14.10023,0.9769869,0.09034306
9.25878217,14.06239,14.05933,0.9756135,0.08515444
9.25944884,14.08558,14.07643,0.9766817,0.08393358
9.26011552,14.16127,14.15395,0.9927054,0.1010255
9.26078219,14.19118,14.19424,1.004303,0.1146075
9.26144887,14.17104,14.17287,0.9780552,0.09080088
9.26211554,14.11854,14.12038,0.9305946,0.04272982
9.26278222,14.14723,14.15029,0.954096,0.06638384
9.26344889,14.20034,14.20095,0.9887376,0.1022464
9.26411557,14.1863,14.19424,0.9853803,0.0984312
9.26478224,14.15395,14.15456,0.9522647,0.06607862
9.26544892,14.20156,14.20767,0.9615737,0.07554023
9.26611559,14.24796,14.2565,0.9856855,0.09934685
9.26678227,14.22171,14.22659,0.9800391,0.09507386
9.26744894,14.15883,14.1625,0.9508912,0.06501038
9.26811562,14.19607,14.19118,0.9623367,0.07676108
9.26878229,14.1918,14.18569,0.9818704,0.09339519
9.26944897,14.11488,14.10511,0.9667623,0.07660847
9.27011564,14.06483,14.05506,0.9344097,0.04150897
9.27078232,14.1686,14.16494,0.9614211,0.06806251
9.27144899,14.24734,14.24368,0.9887376,0.09705774
9.27211567,14.2449,14.23819,1.000183,0.1098767
9.27278234,14.24063,14.23514,1.000946,0.1115554
9.27344902,14.25223,14.2449,0.9829386,0.09308998
9.27411569,14.27176,14.27115,0.9898059,0.1004151
9.27478237,14.26444,14.27298,0.9875168,0.0982786
9.27544904,14.21316,14.21926,0.9643206,0.07691368
9.27611572,14.22049,14.21316,0.9624893,0.07538762
9.27678239,14.26199,14.24734,0.9818704,0.0959895
9.27744907,14.27848,14.25955,0.9962153,0.1103345
9.27811574,14.26199,14.24734,0.9983518,0.1121658
9.27878242,14.22171,14.21499,0.9783604,0.09324259
9.27944909,14.18996,14.19546,0.9814125,0.09446344
9.28011577,14.14174,14.14479,0.9710352,0.08271273
9.28078244,14.09535,14.08192,0.947076,0.05799048
9.28144912,14.16311,14.14846,0.9644732,0.07340373
9.28211579,14.23453,14.21988,1.000488,0.1086558
9.28278247,14.27054,14.25223,1.005677,0.1168966
9.28344914,14.23697,14.22171,0.9931632,0.1065193
9.28411582,14.22049,14.20828,0.9734769,0.08591747
9.28478249,14.26077,14.24857,0.9788182,0.09186912
9.28544917,14.26871,14.25711,0.9850751,0.1014833
9.28611584,14.24246,14.23269,0.9751557,0.09202173
9.28678252,14.22537,14.21988,0.9635575,0.07889757
9.28744919,14.27115,14.26138,0.9774448,0.09278476
9.28811587,14.29191,14.28519,0.9879746,0.1056037
9.28878254,14.24307,14.24429,0.9797338,0.09873642
9.28944922,14.20767,14.20645,0.9675253,0.08500183
9.29011589,14.21194,14.21865,0.9766817,0.09202173
9.29078257,14.16921,14.1802,0.9733244,0.08881699
9.29144924,14.16555,14.17226,0.9565377,0.0727933
9.29211592,14.2449,14.23819,0.9435661,0.05799048
9.29278259,14.27115,14.26444,0.9727139,0.08576486
9.29344927,14.25772,14.25589,0.9922476,0.1063667
9.29411594,14.22476,14.21438,0.9833964,0.09675253
9.29478262,14.18813,14.18508,0.9586741,0.06928336
9.29544929,14.21926,14.22049,0.9701197,0.08133927
9.29611597,14.2681,14.25772,0.992095,0.103925
9.29678264,14.24551,14.23758,0.9852277,0.09766817
9.29744932,14.21133,14.19912,0.955622,0.06958857
9.29811599,14.26199,14.24124,0.9666097,0.0819497
9.29878267,14.27726,14.25589,0.9827859,0.09919424
9.29944934,14.23697,14.22171,0.9786656,0.09446344
9.30011602,14.19546,14.18569,0.9580637,0.07294592
9.30078269,14.2211,14.21316,0.9710352,0.08240752
9.30144937,14.2156,14.19973,0.9832438,0.09446344
9.30211604,14.12404,14.10939,0.9701197,0.08118667
9.30278272,14.07765,14.06544,0.9394457,0.04822366
9.30344939,14.16982,14.16005,0.964931,0.07218288
9.30411607,14.22598,14.22049,0.9907215,0.0984312
9.30478274,14.22598,14.21865,0.9946893,0.1019412
9.30544942,14.204,14.20095,0.9858381,0.09476864
9.30611609,14.23697,14.23147,0.9782078,0.09003785
9.30678277,14.26932,14.25589,0.9879746,0.1027042
9.30744944,14.27054,14.26505,0.988585,0.1049933
9.30811612,14.23819,14.23453,0.9788182,0.09415822
9.30878279,14.21499,14.20828,0.9638628,0.07920279
9.30944947,14.24612,14.24124,0.9766817,0.0937004
9.31011614,14.26138,14.25711,0.9841594,0.1016359
9.31078282,14.22049,14.2211,0.969967,0.0868331
9.31144949,14.23208,14.22293,0.9568428,0.0726407
9.31211617,14.26566,14.24734,0.9589794,0.07523501
9.31278284,14.19057,14.17837,0.9643206,0.07889757
9.31344952,14.11366,14.11061,0.9589794,0.07126725
9.31411619,14.15883,14.15822,0.9638628,0.07554023
