Zeit,Kanal A,Kanal B,Kanal C,Kanal D
13.98950786,14.30228,14.30717,0.9859602,0.09580638
13.99017453,14.28031,14.28946,0.9698449,0.08097301
13.99084121,14.24063,14.25223,0.9471371,0.05857038
13.99150788,14.2388,14.2504,0.9736296,0.08561225
13.99217456,14.22903,14.23758,0.971432,0.08234648
13.99284123,14.19057,14.19546,0.945611,0.05304603
13.99350791,14.15029,14.15883,0.9398119,0.04538518
13.99417458,14.14968,14.16372,0.9511659,0.05603711
13.99484126,14.21255,14.23086,0.97131,0.07505189
13.99550793,14.26138,14.27542,0.9837016,0.08851178
13.99617461,14.27787,14.28702,0.9963374,0.1023685
13.99684128,14.29862,14.29862,1.011232,0.1179038
13.99750796,14.3151,14.31144,1.004334,0.1118606
13.99817463,14.3035,14.30961,0.9935905,0.1015139
13.99884131,14.28275,14.29435,0.9848614,0.0931205
13.99950798,14.24063,14.25162,0.9618484,0.07074838
14.00017466,14.21011,14.21865,0.9413991,0.05036015
14.00084133,14.22415,14.22659,0.9509217,0.06125626
14.00150801,14.25711,14.25955,0.9739348,0.08579539
14.00217468,14.28946,14.29801,0.9823587,0.09424978
14.00284136,14.28641,14.29496,0.9844341,0.09580638
14.00350803,14.2565,14.26138,0.984251,0.09406666
14.00417471,14.1918,14.1979,0.9792455,0.08726041
14.00484138,14.16127,14.16616,0.9717983,0.076639
14.00550806,14.20828,14.21743,0.9719204,0.07505189
14.00617473,14.19912,14.20767,0.9548895,0.05707484
14.00684141,14.19912,14.20461,0.952692,0.05536564
14.00750808,14.23514,14.24429,0.9619704,0.06671957
14.00817476,14.27481,14.28397,0.9704553,0.07697473
14.00884143,14.29862,14.30656,0.9772311,0.08448297
14.00950811,14.29374,14.309,0.9818093,0.09009889
14.01017478,14.31205,14.32609,0.9863265,0.09602002
14.01084146,14.31266,14.32914,0.9944451,0.1040776
14.01150813,14.27848,14.30045,0.997131,0.1070382
14.01217481,14.24246,14.25223,0.9804664,0.09135026
14.01284148,14.19118,14.19973,0.9476254,0.05768526
14.01350816,14.20034,14.20584,0.9449396,0.05438896
14.01417483,14.19363,14.19241,0.9551337,0.06223294
14.01484151,14.20706,14.21316,0.9672812,0.07224393
14.01550818,14.28336,14.28946,0.9906605,0.09507386
14.01617486,14.31693,14.31327,0.9968868,0.1015139
14.01684153,14.32182,14.32182,0.9918813,0.0969967
14.01750821,14.29496,14.3035,0.9970089,0.101758
14.01817488,14.27237,14.28702,0.9949945,0.100232
14.01884156,14.24307,14.26383,0.9768648,0.08283482
14.01950823,14.2095,14.2272,0.9486632,0.05441948
14.02017491,14.23514,14.24307,0.9460993,0.05298498
14.02084158,14.24796,14.25406,0.959895,0.06806251
14.02150826,14.26627,14.26627,0.9750336,0.08469662
14.02217493,14.28702,14.28275,0.9802832,0.09150287
14.02284161,14.28153,14.28275,0.9817482,0.0942803
14.02350828,14.28702,14.28519,0.9877304,0.09962153
14.02417496,14.26505,14.27176,0.9945061,0.1047186
14.02484163,14.2272,14.23636,0.9868758,0.09504334
14.02550831,14.18874,14.19118,0.9774753,0.08298743
14.02617498,14.19118,14.19363,0.9623367,0.06601758
14.02684166,14.21133,14.21988,0.9650836,0.0683372
