Zeit,Kanal E,Kanal F,Kanal G,Kanal H
23.00895368,5.067452,1.643572,0.08588695,2.203333
23.00962035,5.067452,1.643572,0.08588695,2.203333
23.01028703,5.067757,1.643572,0.08594799,2.203638
23.0109537,5.067452,1.643572,0.08588695,2.203638
23.01162038,5.067452,1.64342,0.08576486,2.203638
23.01228705,5.067147,1.64342,0.08576486,2.203638
23.01295373,5.067452,1.64342,0.08588695,2.203638
23.0136204,5.067452,1.643572,0.08594799,2.203638
23.01428708,5.067147,1.64342,0.08588695,2.203333
23.01495375,5.067147,1.64342,0.08588695,2.203333
23.01562043,5.067147,1.643572,0.08600903,2.203333
23.0162871,5.067147,1.643572,0.08613112,2.203333
23.01695378,5.067147,1.643572,0.08607008,2.203333
23.01762045,5.067147,1.643572,0.08613112,2.203333
23.01828713,5.067147,1.643572,0.08619216,2.203333
23.0189538,5.067147,1.643725,0.08631425,2.203638
23.01962048,5.067147,1.643725,0.0862532,2.203638
23.02028715,5.067147,1.643725,0.0862532,2.203638
23.02095383,5.067147,1.643725,0.08631425,2.203943
23.0216205,5.067147,1.643725,0.08637529,2.203943
23.02228718,5.067147,1.643877,0.08643633,2.203943
23.02295385,5.067147,1.643725,0.08637529,2.203943
23.02362053,5.067147,1.643877,0.08649737,2.203943
23.0242872,5.067452,1.64403,0.08655842,2.203943
23.02495388,5.067452,1.643877,0.08655842,2.203943
23.02562055,5.067452,1.643877,0.08649737,2.203638
23.02628723,5.067452,1.643877,0.08649737,2.203638
23.0269539,5.067452,1.64403,0.08661946,2.203943
23.02762058,5.067757,1.644183,0.08674154,2.204248
23.02828725,5.067452,1.64403,0.0866805,2.204248
23.02895393,5.067757,1.64403,0.0866805,2.204248
23.0296206,5.067757,1.64403,0.08674154,2.204248
23.03028728,5.067757,1.644183,0.08686363,2.204554
23.03095395,5.067757,1.644183,0.08680259,2.204859
23.03162063,5.067757,1.64403,0.08674154,2.204554
23.0322873,5.067757,1.644183,0.08680259,2.204554
23.03295398,5.068062,1.644335,0.08692467,2.204554
23.03362065,5.068062,1.644335,0.08698571,2.204554
23.03428733,5.067757,1.644335,0.08692467,2.204248
23.034954,5.068062,1.644335,0.08698571,2.204248
23.03562068,5.068062,1.644488,0.0871078,2.204554
23.03628735,5.068062,1.644488,0.08716884,2.204554
23.03695403,5.068062,1.644335,0.08716884,2.204554
23.0376207,5.068062,1.644488,0.08716884,2.204554
23.03828738,5.068062,1.644488,0.08729093,2.204859
23.03895405,5.068062,1.64464,0.08747406,2.204859
23.03962073,5.068062,1.64464,0.08747406,2.205164
23.0402874,5.068062,1.64464,0.08741301,2.205164
23.04095408,5.068062,1.64464,0.0875351,2.205164
23.04162075,5.068062,1.644793,0.08759614,2.205164
23.04228743,5.068062,1.644793,0.08765718,2.205164
23.0429541,5.068062,1.644793,0.08765718,2.204859
23.04362078,5.068062,1.644793,0.08771823,2.204859
23.04428745,5.068062,1.644946,0.08790135,2.204859
23.04495413,5.068062,1.644946,0.0879624,2.204859
23.0456208,5.068062,1.644946,0.08790135,2.204859
23.04628748,5.068062,1.644946,0.0879624,2.204859
23.04695415,5.068062,1.644946,0.08808448,2.205164
23.04762083,5.068062,1.644946,0.08808448,2.205164
23.0482875,5.068062,1.644793,0.0879624,2.205164
23.04895418,5.068062,1.644793,0.0879624,2.205164
23.04962085,5.068062,1.644946,0.08802344,2.205164
23.05028753,5.068062,1.644946,0.08808448,2.205469
23.0509542,5.068062,1.644793,0.0879624,2.205469
23.05162088,5.067757,1.644793,0.08790135,2.205164
23.05228755,5.067757,1.644793,0.08790135,2.204859
23.05295423,5.067757,1.64464,0.08790135,2.204859
23.0536209,5.067757,1.64464,0.08784031,2.204554
23.05428758,5.067757,1.644488,0.08765718,2.204248
23.05495425,5.067757,1.644488,0.08765718,2.204248
23.05562093,5.067757,1.644488,0.08765718,2.204248
23.0562876,5.067757,1.644335,0.08759614,2.204248
23.05695428,5.067757,1.644183,0.08741301,2.204248
23.05762095,5.067757,1.644183,0.08735197,2.204248
23.05828763,5.067757,1.644183,0.08735197,2.204248
23.0589543,5.067757,1.644183,0.08735197,2.204248
23.05962098,5.067757,1.64403,0.08722989,2.204248
23.06028765,5.067757,1.64403,0.08716884,2.204248
23.06095433,5.067757,1.64403,0.0871078,2.204248
23.061621,5.067757,1.64403,0.0871078,2.203943
23.06228768,5.067757,1.643877,0.08704676,2.203943
23.06295435,5.067757,1.643877,0.08692467,2.203333
23.06362103,5.067757,1.643877,0.08692467,2.203333
23.0642877,5.067757,1.643877,0.08704676,2.203638
23.06495438,5.067757,1.643877,0.08698571,2.203333
23.06562105,5.067757,1.643877,0.08692467,2.203333
23.06628773,5.068062,1.643877,0.08692467,2.203333
23.0669544,5.068062,1.64403,0.08704676,2.203333
23.06762108,5.068062,1.64403,0.0871078,2.203638
23.06828775,5.068062,1.64403,0.08704676,2.203638
23.06895443,5.068367,1.64403,0.0871078,2.203638
23.0696211,5.068367,1.644183,0.08729093,2.203638
23.07028778,5.068367,1.644183,0.08735197,2.203943
23.07095445,5.068367,1.644183,0.08735197,2.203638
23.07162113,5.068367,1.644335,0.08741301,2.203638
23.0722878,5.068673,1.644335,0.0875351,2.203333
23.07295448,5.068673,1.64464,0.08771823,2.203333
23.07362115,5.068978,1.64464,0.08777927,2.203333
23.07428783,5.068978,1.64464,0.08777927,2.203333
23.0749545,5.068978,1.644793,0.0879624,2.203333
23.07562118,5.068978,1.644946,0.08814552,2.203638
