Zeit,Kanal A,Kanal B,Kanal C,Kanal D
15.65352862,14.20034,14.19118,0.979276,0.08179709
15.65419529,14.14418,14.14174,0.9751557,0.07660847
15.65486197,14.16799,14.16799,0.978513,0.08027103
15.65552864,14.22049,14.21988,0.9983518,0.09858381
15.65619532,14.22171,14.2211,1.000183,0.09812599
15.65686199,14.19668,14.19607,0.9765291,0.07309853
15.65752867,14.21865,14.2211,0.9867538,0.08378097
15.65819534,14.24734,14.25406,1.004151,0.1052985
15.65886202,14.23636,14.24124,0.9916372,0.09461604
15.65952869,14.18996,14.19607,0.9640154,0.06699426
15.66019537,14.22354,14.22903,0.9774448,0.08057624
15.66086204,14.2504,14.2565,1.005372,0.1086558
15.66152872,14.2449,14.24796,1.001251,0.1049933
15.66219539,14.22171,14.22659,0.9827859,0.08805396
15.66286207,14.24307,14.25284,0.9888902,0.09415822
15.66352874,14.25711,14.25772,0.9922476,0.09537907
15.66419542,14.15761,14.15883,0.9866011,0.0868331
15.66486209,14.11122,14.10939,0.9698144,0.06775729
15.66552877,14.13686,14.14296,0.9803443,0.07706629
15.66619544,14.19241,14.204,0.9985045,0.09354779
15.66686212,14.19241,14.204,0.9809547,0.07538762
15.66752879,14.2095,14.22049,0.9911793,0.08698571
15.66819547,14.23636,14.24246,1.006898,0.1059089
15.66886214,14.22964,14.22598,0.9924002,0.09324259
15.66952882,14.19668,14.19363,0.9664571,0.06882554
15.67019549,14.23819,14.23514,0.9818704,0.08561225
15.67086217,14.26871,14.26199,1.002472,0.1071298
15.67152884,14.25467,14.25101,0.9946893,0.0984312
15.67219552,14.22049,14.21438,0.9728665,0.07660847
15.67286219,14.24246,14.22903,0.9823282,0.08698571
15.67352887,14.26016,14.25223,0.9853803,0.08912221
15.67419554,14.20584,14.204,0.9768343,0.07981321
15.67486222,14.18691,14.19912,0.9786656,0.08042364
15.67552889,14.16127,14.17287,0.9833964,0.0819497
15.67619557,14.13014,14.13258,0.9736296,0.07141985
15.67686224,14.15212,14.14907,0.9637101,0.06241607
15.67752892,14.20034,14.19363,0.983549,0.08088145
15.67819559,14.2272,14.22171,1.004761,0.1011781
15.67886227,14.22354,14.21621,0.9962153,0.09507386
15.67952894,14.20278,14.19973,0.9728665,0.07233549
15.68019562,14.24429,14.24368,0.9904163,0.08912221
15.68086229,14.25955,14.25894,1.009492,0.1097241
15.68152897,14.23392,14.23086,0.9946893,0.09705774
15.68219564,14.19912,14.18935,0.9724087,0.07523501
15.68286232,14.21499,14.20339,0.9867538,0.08988523
15.68352899,14.21377,14.2095,1.005219,0.1085032
15.68419567,14.17837,14.19363,0.9934684,0.09659992
15.68486234,14.20217,14.22049,0.988585,0.09171651
15.68552902,14.23208,14.24002,1.001251,0.1036198
