Zeit,Kanal A,Kanal B,Kanal C,Kanal D
19.81358051,14.0923,14.09169,0.9585215,0.05603711
19.81424719,14.09779,14.09474,0.9611158,0.05438896
19.81491386,14.12404,14.11427,0.9672201,0.05756318
19.81558054,14.19363,14.18691,0.997894,0.08863387
19.81624721,14.2095,14.21743,1.00995,0.1021243
19.81691389,14.18447,14.20217,0.9995727,0.09278476
19.81758056,14.20156,14.2156,1.004914,0.09779026
19.81824724,14.21804,14.22659,1.002014,0.09486021
19.81891391,14.20828,14.21072,0.9837016,0.07770724
19.81958059,14.15578,14.15578,0.9658467,0.05951654
19.82024726,14.14052,14.14296,0.9637101,0.05603711
19.82091394,14.16433,14.17348,0.9853803,0.07898913
19.82158061,14.19485,14.20584,1.006135,0.1010866
19.82224729,14.21316,14.21926,1.007203,0.1038335
19.82291396,14.1863,14.18264,1.000946,0.09571481
19.82358064,14.17104,14.17104,0.9959101,0.0895495
19.82424731,14.18081,14.18935,0.9945367,0.08747406
19.82491399,14.15761,14.16616,0.9765291,0.06867293
19.82558066,14.13686,14.13625,0.9756135,0.06610914
19.82624734,14.16372,14.157,1.009187,0.1004151
19.82691401,14.2095,14.21194,1.023837,0.1180564
19.82758069,14.22842,14.24063,1.019412,0.1130509
19.82824736,14.24246,14.24429,1.012239,0.1062752
19.82891404,14.24612,14.24185,1.006745,0.1009645
19.82958071,14.20828,14.21133,0.9908741,0.08484922
19.83024739,14.17226,14.17409,0.9693566,0.06433891
19.83091406,14.12282,14.11977,0.9511964,0.04572091
19.83158074,14.12221,14.11488,0.9559273,0.04999389
19.83224741,14.18081,14.17776,0.9908741,0.08692467
19.83291409,14.17715,14.17409,0.9981992,0.09406666
19.83358076,14.17715,14.17287,0.9946893,0.08912221
19.83424744,14.21804,14.21926,1.004609,0.09791234
19.83491411,14.2156,14.21377,0.9948419,0.08820657
19.83558079,14.16433,14.16494,0.9759187,0.06897815
19.83624746,14.13442,14.13014,0.9626419,0.05506043
19.83691414,14.13381,14.13136,0.9731718,0.06629227
19.83758081,14.19546,14.19546,1.011323,0.1063362
19.83824749,14.24002,14.24002,1.019106,0.1148211
19.83891416,14.24368,14.24612,1.012086,0.1087779
19.83958084,14.23086,14.23697,1.004303,0.1015139
19.84024751,14.21316,14.21743,0.9930106,0.0899768
19.84091419,14.18508,14.18874,0.9811073,0.07758515
19.84158086,14.16982,14.16555,0.9672201,0.06311806
19.84224754,14.13564,14.13258,0.9615737,0.05597607
19.84291421,14.12099,14.12343,0.9728665,0.06964961
19.84358089,14.14113,14.15029,0.9902637,0.08716884
