Zeit,Kanal E,Kanal F,Kanal G,Kanal H
11.02680423,5.084849,1.794042,0.1065193,4.053535
11.02747091,5.070199,1.769015,0.0843914,4.031254
11.02813758,5.083323,1.787633,0.09949945,4.051703
11.02880426,5.101331,1.808692,0.1168966,4.072152
11.02947093,5.094311,1.795263,0.108198,4.059028
11.03013761,5.068673,1.773593,0.08591747,4.035527
11.03080428,5.07844,1.793432,0.1051459,4.055671
11.03147096,5.104993,1.815712,0.1269686,4.079782
11.03213763,5.090343,1.797705,0.1097241,4.058113
11.03280431,5.044561,1.755585,0.06607862,4.010499
11.03347098,5.034489,1.753449,0.05951654,4.005616
11.03413766,5.051276,1.768404,0.07508241,4.027286
11.03480433,5.075693,1.786412,0.09919424,4.055671
11.03547101,5.053718,1.765352,0.07981321,4.031254
11.03613768,5.063484,1.774814,0.09141131,4.041631
11.03680436,5.093395,1.80442,0.1188805,4.071542
11.03747103,5.104077,1.817238,0.1284947,4.077646
11.03813771,5.091564,1.802283,0.1149127,4.06208
11.03880438,5.069894,1.784886,0.09415822,4.043157
11.03947106,5.083628,1.80442,0.1091137,4.057502
11.04013773,5.10713,1.817849,0.1259004,4.073068
11.04080441,5.103162,1.807166,0.12178,4.068184
11.04147108,5.076608,1.784886,0.1001099,4.048651
11.04213776,5.085155,1.7974,0.1075876,4.056586
11.04280443,5.113234,1.822122,0.1304786,4.074289
11.04347111,5.113539,1.825784,0.1335307,4.079172
11.04413778,5.055549,1.766878,0.07752411,4.028507
11.04480446,4.841594,1.568795,-0.1257478,3.839275
11.04547113,4.538213,1.288304,-0.4160054,3.573129
11.04613781,4.868758,1.589855,-0.1014833,3.865523
11.04680448,5.047918,1.756806,0.06928336,4.01813
11.04747116,5.064705,1.777866,0.08759614,4.033695
11.04813783,5.091869,1.802893,0.1146075,4.064217
11.04880451,5.093395,1.806251,0.1191857,4.065743
11.04947118,5.073862,1.79099,0.1019412,4.043157
11.05013786,5.069589,1.787938,0.09537907,4.038579
11.05080453,5.088817,1.803504,0.1141497,4.059944
11.05147121,5.104688,1.813576,0.1278843,4.077646
11.05213788,5.091564,1.806251,0.1178122,4.071237
11.05280456,5.068978,1.787328,0.09919424,4.04682
11.05347123,5.086986,1.800452,0.1107923,4.054755
11.05413791,5.097363,1.800757,0.111708,4.057807
11.05480458,5.072335,1.775424,0.08805396,4.034306
11.05547126,5.041509,1.744903,0.06073739,4.007752
11.05613793,5.056769,1.761384,0.07676108,4.02576
11.05680461,5.091259,1.7974,0.1097241,4.064522
11.05747128,5.08546,1.797705,0.1078928,4.06208
11.05813796,5.064705,1.773898,0.08713832,4.039189
11.05880463,5.08607,1.7916,0.1059089,4.058113
11.05947131,5.104077,1.80564,0.1213222,4.071847
