Zeit,Kanal E,Kanal F,Kanal G,Kanal H
16.03753341,5.010683,1.725675,0.03906727,2.082163
16.03820008,5.047918,1.760621,0.07645586,2.129471
16.03886676,5.074472,1.787328,0.1014833,2.115126
16.03953343,5.075693,1.788396,0.1037724,2.066903
16.04020011,5.09248,1.796179,0.115981,2.009218
16.04086678,5.084544,1.793127,0.1094189,1.971066
16.04153346,5.071725,1.786259,0.09751557,1.978696
16.04220013,5.059822,1.777408,0.08744353,2.00586
16.04286681,5.041814,1.758638,0.06852032,1.972287
16.04353348,5.022586,1.740172,0.05127579,1.933525
16.04420016,5.026248,1.738646,0.05234404,1.945428
16.04486683,5.054633,1.767489,0.08027103,2.007081
16.04553351,5.068367,1.788701,0.1042303,2.084605
16.04620018,5.063789,1.796789,0.1199487,2.153888
16.04686686,5.070199,1.788548,0.1051459,2.157246
16.04753353,5.0644,1.76993,0.08256012,2.138017
16.04820021,5.064705,1.761384,0.07615066,2.068429
16.04886688,5.061653,1.768862,0.08057624,2.034855
16.04953356,5.045476,1.761842,0.07187767,1.994262
16.05020023,5.028995,1.74826,0.05951654,1.971981
16.05086691,5.030216,1.744445,0.05814308,1.949396
16.05153358,5.059516,1.771151,0.08454401,1.973202
16.05220026,5.078745,1.791906,0.1046881,1.988768
16.05286693,5.07844,1.79099,0.103162,1.993346
16.05353361,5.074472,1.788091,0.09980466,2.003113
16.05420028,5.077829,1.78748,0.1013307,2.014711
16.05486696,5.083933,1.787328,0.1007203,2.04157
16.05553363,5.068062,1.777713,0.09110609,2.076669
16.05620031,5.046698,1.760774,0.07508241,2.10536
16.05686698,5.026859,1.74002,0.05402271,2.103223
16.05753366,5.016787,1.727506,0.04120376,2.06965
16.05820033,5.037541,1.745971,0.05829569,2.034855
16.05886701,5.041509,1.754975,0.06806251,2.033329
16.05953368,5.062874,1.778629,0.09034306,2.022647
16.06020036,5.076914,1.789311,0.1008729,2.001282
16.06086703,5.074777,1.788243,0.09934685,1.975949
16.06153371,5.066536,1.782292,0.09385301,1.983274
16.06220038,5.063179,1.775882,0.08637529,1.986937
16.06286706,5.051581,1.762453,0.07294592,1.965267
16.06353373,5.032047,1.746734,0.05875351,1.939934
16.06420041,5.020449,1.736815,0.04959712,1.933525
16.06486708,5.025332,1.746124,0.05768526,1.963435
16.06553376,5.056769,1.776187,0.08637529,2.041875
16.06620043,5.074167,1.787938,0.09980466,2.086741
16.06686711,5.068978,1.78397,0.09339519,2.10536
16.06753378,5.055243,1.771456,0.08072884,2.106886
16.06820046,5.046392,1.762147,0.0726407,2.108717
16.06886713,5.041814,1.759095,0.07050421,2.06324
16.06953381,5.047918,1.7623,0.0727933,2.010438
16.07020048,5.04273,1.754517,0.06455256,1.924063
16.07086716,5.02869,1.738341,0.04883409,1.87706
16.07153383,5.02869,1.738036,0.04944451,1.90575
16.07220051,5.052496,1.764894,0.07660847,1.956721
16.07286718,5.068062,1.781071,0.09415822,1.955805
16.07353386,5.075998,1.791295,0.103162,1.957942
16.07420053,5.075998,1.791295,0.1034672,1.975644
16.07486721,5.069589,1.78687,0.09904163,1.997619
16.07553388,5.0644,1.783055,0.09354779,2.037602
16.07620056,5.055243,1.774356,0.0842388,2.06965
16.07686723,5.039067,1.757569,0.06745208,2.068734
16.07753391,5.013429,1.728574,0.03891466,2.053168
16.07820058,4.991149,1.706446,0.01892321,1.974728
16.07886726,4.998779,1.713161,0.02731657,1.951837
16.07953393,5.057075,1.76581,0.07920279,1.967403
16.08020061,5.055854,1.768099,0.0796606,1.95489
16.08086728,5.022891,1.741851,0.05203882,1.917959
16.08153396,5.057991,1.768862,0.0819497,1.934135
16.08220063,5.084544,1.789006,0.102399,1.947259
